ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000116748	AMPD1	1	115215719	115238239	-1	protein_coding	270	AMPD1	3.77976185034765e-12	-0.122491724	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell:Mesendoderm	4.395e-08	rs2476601	1
ENSG00000213281	NRAS	1	115247090	115259515	-1	protein_coding	4893	NRAS	0.912772900891261	-1.243467832	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell	4.395e-08	rs2476601	1
ENSG00000066248	NGEF	2	233743396	233877982	-1	protein_coding	25791	NGEF	0.949825524634906	1.131194005	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell	0.01078	rs17863762	2
ENSG00000222001	AC106876.2	2	233877324	233880595	1	protein_coding	NA	NA	0.322632813017622	NA	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell	0.01078	rs17863762	2
ENSG00000168918	INPP5D	2	233924677	234116549	1	protein_coding	3635	INPP5D	0.167430840933568	NA	0	0	0	NA	NA	NA	NA	Yes	GM12878	0.01078	rs17863762	2
ENSG00000085982	USP40	2	234384166	234475428	-1	protein_coding	55230	USP40	1.74474759846129e-14	1.855333982	1	2.071	0	NA	NA	NA	NA	Yes	Liver:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	0.01078	rs17863762	2
ENSG00000241635	UGT1A8	2	234526291	234681956	1	protein_coding	54659	UGT1A8	2.93632324623578e-09	-0.015362162	1	23.7	0	NA	NA	NA	NA	No	NA	2.967e-10	rs17863762	2
ENSG00000242366	UGT1A1	2	234668894	234681945	1	protein_coding	54658	UGT1A1	6.95565246350873e-05	0.233093772	0	0	0	NA	NA	NA	NA	Yes	Liver:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	0.01078	rs17863762	2
ENSG00000144481	TRPM8	2	234826043	234928166	1	protein_coding	79054	TRPM8	4.73679846782498e-15	1.509210961	0	0	0	NA	NA	NA	NA	Yes	Liver:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.967e-10	rs17863762	2
ENSG00000188042	ARL4C	2	235401685	235405697	-1	protein_coding	10123	ARL4C	0.607389355262414	0.420186502	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell	0.01078	rs17863762	2
ENSG00000204655	MOG	6	29624758	29640149	1	protein_coding	4340	MOG	0.103680312661872	0.12218187	0	0	0	NA	NA	NA	NA	Yes	Fetal_Cortex	5.189e-16	rs9501364:rs138389328;rs116995415;rs117232593	3
ENSG00000204613	TRIM10	6	30119722	30128711	-1	protein_coding	10107	TRIM10	9.94954187768385e-06	3.206211047	0	0	0	NA	NA	NA	NA	Yes	IMR90	5.764e-13	rs566907865:rs376877:rs588997:rs2071349:rs9277341	3
ENSG00000204610	TRIM15	6	30130993	30140473	1	protein_coding	89870	TRIM15	2.18350911167555e-11	0.066990975	0	0	0	NA	NA	NA	NA	Yes	IMR90	5.764e-13	rs566907865:rs376877:rs588997:rs2071349:rs9277341	3
ENSG00000204599	TRIM39	6	30294256	30311506	1	protein_coding	202658	TRIM39	0.999421097975261	-0.577588638	0	0	0	NA	NA	NA	NA	Yes	Fetal_Cortex	5.189e-16	rs9501364:rs138389328;rs116995415;rs117232593	3
ENSG00000248167	TRIM39-RPP21	6	30297359	30314631	1	protein_coding	202658	TRIM39-RPP21	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Fetal_Cortex	5.189e-16	rs9501364:rs138389328;rs116995415;rs117232593	3
ENSG00000241370	RPP21	6	30312908	30314661	1	protein_coding	79897	RPP21	0.0824539766931298	0.323480374	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	2.577e-16	rs138389328;rs116995415;rs117232593:rs9501364:rs57833738	3
ENSG00000204592	HLA-E	6	30457244	30461982	1	protein_coding	3133	HLA-E	0.347084032103792	-0.080876179	0	0	0	NA	NA	NA	NA	Yes	Fetal_Cortex	NA	rs9501364	3
ENSG00000204590	GNL1	6	30509154	30524951	-1	protein_coding	2794	GNL1	0.999930615118599	-2.556391329	0	0	0	NA	NA	NA	NA	Yes	Fetal_Cortex	NA	rs9501364	3
ENSG00000204576	PRR3	6	30524663	30531500	1	protein_coding	80742	PRR3	0.114320038533931	-0.305114319	0	0	1	5.8153315012e-07	0.049	DICE/B_cell_naive	NA	Yes	Fetal_Cortex	NA	rs28752780;rs9501364	3
ENSG00000204574	ABCF1	6	30539153	30564956	1	protein_coding	23	ABCF1	2.7302422835602e-06	-0.609302495	0	0	0	NA	NA	NA	NA	Yes	Fetal_Cortex	3.427e-15	rs116995415;rs117232593:rs9501364	3
ENSG00000137343	ATAT1	6	30594619	30614600	1	protein_coding	79969	ATAT1	0.0143739247782645	-0.562123485	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	1.145e-14	rs116995415;rs117232593:rs9501364	3
ENSG00000204564	C6orf136	6	30614816	30620987	1	protein_coding	221545	C6orf136	0.87389420310306	NA	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Right_Ventricle:GM12878:IMR90	1.458e-15	rs9501364:rs116995415;rs117232593:rs28752780:rs117232593	3
ENSG00000146112	PPP1R18	6	30644166	30655672	-1	protein_coding	170954	PPP1R18	0.12120153280798	-1.526634186	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex	5.189e-16	rs116995415;rs117232593:rs9501364:rs138389328;rs117232593:rs2856437	3
ENSG00000137404	NRM	6	30655824	30659197	-1	protein_coding	11270	NRM	0.142577186791213	0.153616462	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex	5.189e-16	rs116995415;rs117232593:rs9501364:rs138389328;rs117232593:rs2856437	3
ENSG00000137337	MDC1	6	30667584	30685666	-1	protein_coding	9656	MDC1	0.00094184680344876	1.231982853	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex:Left_Ventricle:Right_Ventricle:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	8.944e-21	rs116995415;rs117232593:rs9501364:rs138389328;rs117232593:rs74463708:rs74463708;rs34744948:rs117816501;rs138389328:rs138389328:rs2856437:rs2853807:rs204996:rs28752780:rs117232593:rs57833738:rs117292830:rs116995415	3
ENSG00000196230	TUBB	6	30687978	30693203	1	protein_coding	203068	TUBB	0.875276521102353	0.971450259	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex:Left_Ventricle:Right_Ventricle:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	8.944e-21	rs116995415;rs117232593:rs9501364:rs138389328;rs117232593:rs74463708:rs74463708;rs34744948:rs117816501;rs138389328:rs138389328:rs2856437:rs2853807:rs204996:rs28752780:rs117232593:rs57833738:rs117292830:rs116995415	3
ENSG00000137312	FLOT1	6	30695486	30710510	-1	protein_coding	10211	FLOT1	0.0152734382576229	NA	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Fetal_Cortex:Left_Ventricle:Right_Ventricle:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.331e-17	rs116995415;rs117232593:rs9501364:rs28752780:rs117232593:rs79118723:rs138389328;rs117232593:rs57833738:rs117292830:rs116995415	3
ENSG00000137331	IER3	6	30710976	30712331	-1	protein_coding	8870	IER3	0.671461598838892	0.024327122	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Fetal_Cortex:Left_Ventricle:Right_Ventricle:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.331e-17	rs116995415;rs117232593:rs9501364:rs28752780:rs117232593:rs79118723:rs138389328;rs117232593:rs57833738:rs117292830:rs116995415	3
ENSG00000204580	DDR1	6	30844198	30867933	1	protein_coding	100616237	DDR1	0.0264778570642852	0.516701782	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:EP_correlation_organ_oneway:Adult_Cortex:Fetal_Cortex	3.427e-15	rs116995415;rs117232593:rs28752780:rs9501364	3
ENSG00000213780	GTF2H4	6	30875961	30881883	1	protein_coding	2968	GTF2H4	0.25803488725879	0.344414204	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	1.918e-16	rs117232593:rs116995415;rs117232593:rs9501364:rs28752780:rs138389328;rs116995415;rs117232593:rs75918478:rs74463708:rs117816501;rs138389328:rs566907865:rs117816501;rs79433101;rs138389328	3
ENSG00000137411	VARS2	6	30876019	30894236	1	protein_coding	57176	VARS2	4.21949935405234e-14	NA	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	1.918e-16	rs117232593:rs116995415;rs117232593:rs9501364:rs28752780:rs138389328;rs116995415;rs117232593:rs75918478:rs74463708:rs117816501;rs138389328:rs566907865:rs117816501;rs79433101;rs138389328	3
ENSG00000196260	SFTA2	6	30899130	30899952	-1	protein_coding	389376	SFTA2	0.594981142208541	0.986943061	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Right_Ventricle:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm	2.331e-17	rs117232593:rs116995415;rs117232593:rs9501364:rs28752780:rs138389328;rs116995415;rs117232593	3
ENSG00000168631	DPCR1	6	30908749	30921998	1	protein_coding	135656	DPCR1	0.140380580992053	0.179010993	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Right_Ventricle:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm	2.331e-17	rs116995415;rs117232593:rs9501364:rs117232593:rs28752780:rs138389328;rs117232593	3
ENSG00000204544	MUC21	6	30951495	30957680	1	protein_coding	394263	MUC21	0.331419151101163	1.796880369	1	0.283	0	NA	NA	NA	NA	Yes	Right_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm	2.331e-17	rs117232593;rs117232593:rs116995415;rs117232593:rs28752780:rs138389328;rs116995415	3
ENSG00000261272	MUC22	6	30978251	31003179	1	protein_coding	100507679	MUC22	NA	0.89268883	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:Right_Ventricle:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	2.331e-17	rs28752780:rs138389328;rs116995415;rs117232593:rs117232593:rs116995415;rs117232593:rs9501364:rs57833738:rs117292830:rs116995415	3
ENSG00000204542	C6orf15	6	31079000	31080336	-1	protein_coding	29113	C6orf15	0.00142769734419249	1.07285805	14	16.24	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Adult_Cortex:Left_Ventricle:Right_Ventricle:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.229e-17	rs9501364;rs116995415;rs117232593;rs28752780;rs117232593:rs74463708:rs117816501;rs138389328:rs9501364:rs138389328;rs117232593:rs28752780:rs57833738:rs117232593:rs117292830:rs116995415:rs138389328:rs75918478:rs79118723	3
ENSG00000204540	PSORS1C1	6	31082527	31107869	1	protein_coding	170679	PSORS1C1	0.00085535591737133	2.372724403	19	16.24	0	NA	NA	NA	NA	Yes	Adult_Cortex:Left_Ventricle:Right_Ventricle:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.229e-17	rs9501364;rs116995415;rs117232593;rs28752780;rs117232593:rs9501364:rs138389328;rs117232593:rs28752780:rs57833738:rs117232593:rs117292830:rs116995415:rs138389328:rs75918478:rs79118723	3
ENSG00000204539	CDSN	6	31082867	31088223	-1	protein_coding	1041	CDSN	0.499451801068193	3.550217716	16	16.24	0	NA	NA	NA	NA	Yes	Adult_Cortex:Left_Ventricle:Right_Ventricle:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.229e-17	rs9501364;rs116995415;rs117232593;rs28752780;rs117232593:rs9501364:rs138389328;rs117232593:rs28752780:rs57833738:rs117232593:rs117292830:rs116995415:rs138389328:rs75918478:rs79118723	3
ENSG00000204538	PSORS1C2	6	31105313	31107127	-1	protein_coding	170680	PSORS1C2	0.104502852669113	2.438874226	4	5.487	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Left_Ventricle:Right_Ventricle:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.229e-17	rs116995415;rs117232593;rs9501364;rs138389328;rs117232593:rs9501364:rs57833738:rs28752780:rs116995415;rs117232593:rs117232593:rs117292830:rs116995415:rs138389328:rs75918478:rs79118723	3
ENSG00000204536	CCHCR1	6	31110216	31126015	-1	protein_coding	54535	CCHCR1	6.50103692455086e-08	NA	4	5.487	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:Right_Ventricle:GM12878	2.795e-20	rs116995415;rs117232593;rs9501364;rs138389328;rs117232593:rs9501364:rs138389328;rs117232593:rs57833738:rs138389328:rs566907865:rs117816501;rs79433101;rs138389328:rs74463708;rs34744948:rs34744948:rs28752780:rs117232593:rs549182:rs241436	3
ENSG00000137310	TCF19	6	31126319	31134936	1	protein_coding	6941	TCF19	0.000232743975557081	2.245378775	4	6.127	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:Right_Ventricle:GM12878	2.795e-20	rs9501364;rs138389328;rs116995415;rs117232593;rs28752780;rs117232593:rs9501364:rs138389328;rs117232593:rs57833738:rs138389328:rs566907865:rs117816501;rs79433101;rs138389328:rs74463708;rs34744948:rs34744948:rs28752780:rs117232593:rs549182:rs241436	3
ENSG00000204531	POU5F1	6	31132119	31148508	-1	protein_coding	5460	POU5F1	0.889691089140015	0.511715062	6	6.21	1	5.43815258257e-05	0.049	DICE/T_CD4_naive_TREG	NA	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:Right_Ventricle:GM12878	2.331e-17	rs138389328;rs116995415;rs117232593;rs28752780;rs9501364;rs57833738;rs117232593:rs9501364:rs74463708;rs34744948:rs74463708:rs138389328;rs117232593:rs28752780:rs117232593	3
ENSG00000206344	HCG27	6	31165537	31171745	1	protein_coding	253018	HCG27	NA	NA	6	14.23	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Aorta:Left_Ventricle:Liver:Right_Ventricle:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.229e-17	rs57833738;rs138389328;rs116995415;rs117232593;rs117232593:rs9501364:rs138389328:rs28752780:rs138389328;rs117232593:rs117232593:rs117292830:rs116995415:rs79118723:rs75918478	3
ENSG00000204525	HLA-C	6	31236526	31239907	-1	protein_coding	3107	HLA-C	9.94564281082044e-10	8.44188637	14	15.74	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Aorta:Left_Ventricle:Liver:Right_Ventricle:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.331e-17	rs138389328;rs116995415;rs117232593;rs28752780;rs117232593:rs28752780:rs79118723:rs9501364:rs57833738:rs116995415;rs117232593:rs117232593	3
ENSG00000234745	HLA-B	6	31321649	31324965	-1	protein_coding	3106	HLA-B	0.00266463463685607	10.62525401	21	13.42	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	4.768e-17	rs28752780;rs138389328;rs116995415;rs117232593:rs28752780	3
ENSG00000204520	MICA	6	31371356	31383092	1	protein_coding	100507436	MICA	0.000378019716342188	2.277119779	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	2.229e-17	rs138389328;rs116995415;rs117232593:rs28752780:rs138389328:rs75918478:rs204996	3
ENSG00000204516	MICB	6	31462658	31478901	1	protein_coding	4277	MICB	0.000284376917984568	0.724391985	14	11.28	59	3.1237593007e-07	0.049	DICE/Monocyte_classical:DICE/T_CD4_naive_TREG	+	Yes	Promoter_anchored_loops:Adult_Cortex:Right_Ventricle:GM12878	2.705e-22	rs75918478;rs138389328;rs79118723;rs28752780;rs116995415;rs117232593:rs74463708;rs34744948:rs34744948:rs204996:rs138389328:rs2856437:rs144039739:rs117816501:rs9270549:rs9501364:rs28752780:rs117232593:rs138389328;rs117232593:rs57833738	3
ENSG00000204511	MCCD1	6	31496494	31498009	1	protein_coding	401250	MCCD1	0.00896309387231422	1.441910548	7	19.55	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:GM12878:IMR90	8.944e-21	rs74463708;rs117816501;rs138389328;rs116995415;rs117232593:rs9501364:rs74463708;rs34744948:rs74463708:rs138389328:rs117816501;rs138389328:rs204996	3
ENSG00000198563	DDX39B	6	31497996	31510225	-1	protein_coding	692199	DDX39B	0.997728044454765	0.551698355	17	19.55	0	NA	NA	NA	NA	Yes	EP_links_oneway:Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:GM12878:IMR90	2.705e-22	rs74463708;rs117816501;rs138389328;rs34744948;rs204996:rs138389328;rs116995415;rs117232593:rs138389328:rs75918478:rs74463708:rs148698549:rs117816501;rs138389328:rs2856437:rs2853807:rs9501364:rs74463708	3
ENSG00000254870	ATP6V1G2-DDX39B	6	31497996	31514385	-1	protein_coding	NA	ATP6V1G2-DDX39B	NA	NA	27	19.55	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Fetal_Cortex:GM12878:IMR90	2.705e-22	rs74463708;rs117816501;rs138389328;rs34744948;rs116995415;rs117232593:rs138389328:rs75918478:rs74463708:rs148698549:rs117816501;rs138389328:rs204996:rs2856437:rs2853807:rs74463708	3
ENSG00000213760	ATP6V1G2	6	31512239	31516204	-1	protein_coding	534	ATP6V1G2	0.224789736223208	0.558599632	21	7.658	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Fetal_Cortex:GM12878:IMR90	2.705e-22	rs74463708;rs34744948;rs138389328;rs116995415;rs117232593:rs138389328:rs75918478:rs74463708:rs148698549:rs117816501;rs138389328:rs204996:rs2856437:rs2853807:rs74463708	3
ENSG00000204498	NFKBIL1	6	31514647	31526606	1	protein_coding	4795	NFKBIL1	0.816647169800353	0.117968443	29	14.05	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Fetal_Cortex:GM12878:IMR90	2.705e-22	rs74463708;rs34744948;rs138389328;rs117816501;rs116995415;rs117232593:rs138389328:rs75918478:rs74463708:rs148698549:rs117816501;rs138389328:rs204996:rs2856437:rs2853807:rs74463708	3
ENSG00000226979	LTA	6	31539831	31542101	1	protein_coding	4049	LTA	0.743246562194033	0.052600005	4	3.313	0	NA	NA	NA	NA	Yes	EP_links_oneway:Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:GM12878:IMR90	8.944e-21	rs138389328;rs117816501;rs74463708;rs34744948:rs74463708:rs138389328;rs116995415;rs117232593:rs9501364:rs57833738:rs138389328:rs34744948:rs148698549:rs2856437:rs204996:rs117816501;rs138389328:rs117816501;rs79433101;rs138389328:rs2853807:rs241436	3
ENSG00000232810	TNF	6	31543344	31546113	1	protein_coding	7124	TNF	0.272829190351182	-0.462055903	3	3.313	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:GM12878:IMR90	8.944e-21	rs117816501;rs138389328;rs74463708;rs34744948:rs74463708:rs34744948:rs148698549:rs9501364:rs117816501;rs138389328:rs138389328:rs117816501;rs79433101;rs138389328:rs2856437:rs2853807:rs204996:rs241436	3
ENSG00000227507	LTB	6	31548302	31550299	-1	protein_coding	4050	LTB	1.00562999342202e-05	-0.065754608	2	17.53	0	NA	NA	NA	NA	Yes	EP_links_oneway:Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:GM12878:IMR90	8.944e-21	rs74463708;rs138389328;rs34744948:rs74463708:rs138389328;rs116995415;rs117232593:rs34744948:rs138389328:rs117816501;rs138389328:rs148698549:rs204996:rs2856437:rs144039739:rs9270549:rs9271146:rs9501364:rs117816501;rs79433101;rs138389328:rs2853807:rs241436	3
ENSG00000204482	LST1	6	31553901	31556686	1	protein_coding	7940	LST1	0.00253791495629015	0.289220752	7	17.53	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:GM12878:IMR90	3.177e-17	rs74463708;rs138389328;rs34744948;rs116995415;rs117232593:rs74463708;rs34744948:rs34744948:rs74463708:rs138389328:rs117816501;rs138389328:rs204996:rs2856437:rs144039739:rs9270549:rs9271146	3
ENSG00000204475	NCR3	6	31556672	31560762	-1	protein_coding	259197	NCR3	0.00146130688438596	0.872155246	10	17.53	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	8.944e-21	rs74463708;rs138389328;rs34744948;rs138389328:rs117816501;rs138389328:rs74463708:rs204996	3
ENSG00000204472	AIF1	6	31582961	31584798	1	protein_coding	199	AIF1	0.0127986482867158	-0.264550988	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex	3.362e-22	rs74463708;rs34744948:rs34744948:rs74463708:rs138389328:rs204996:rs566907865:rs117816501;rs79433101;rs138389328:rs116995415;rs117232593:rs9501364:rs138389328;rs116995415;rs117232593:rs75918478:rs549182:rs2856437:rs2853807:rs17209007:rs382259:rs376549:rs1265788:rs412492:rs3115574:rs56673349:rs1617322:rs2072915:rs241436	3
ENSG00000204469	PRRC2A	6	31588497	31605548	1	protein_coding	7916	PRRC2A	0.999999999990663	NA	1	14.91	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex	3.362e-22	rs117816501;rs138389328;rs74463708;rs34744948:rs34744948:rs74463708:rs138389328:rs204996:rs566907865:rs117816501;rs79433101;rs138389328:rs116995415;rs117232593:rs9501364:rs138389328;rs116995415;rs117232593:rs75918478:rs549182:rs2856437:rs2853807:rs17209007:rs382259:rs376549:rs1265788:rs412492:rs3115574:rs56673349:rs1617322:rs2072915:rs241436	3
ENSG00000204463	BAG6	6	31606805	31620482	-1	protein_coding	7917	BAG6	0.999987885791662	-0.321190461	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:Right_Ventricle:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell	3.722e-21	rs74463708:rs74463708;rs34744948:rs34744948:rs148698549:rs117816501;rs138389328:rs138389328:rs204996:rs2856437:rs2853807:rs116995415;rs117232593:rs9501364:rs138389328;rs116995415;rs117232593:rs75918478:rs549182:rs117816501;rs79433101;rs138389328:rs241436:rs2072915:rs3115574:rs412492:rs56673349:rs926070:rs1617322:rs17209007:rs1265788:rs73739316	3
ENSG00000204444	APOM	6	31620193	31625987	1	protein_coding	55937	APOM	0.00854307555982986	-0.533737058	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:Right_Ventricle:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell	3.722e-21	rs74463708:rs74463708;rs34744948:rs34744948:rs148698549:rs117816501;rs138389328:rs138389328:rs204996:rs2856437:rs2853807:rs116995415;rs117232593:rs9501364:rs138389328;rs116995415;rs117232593:rs75918478:rs549182:rs117816501;rs79433101;rs138389328:rs241436:rs2072915:rs3115574:rs412492:rs56673349:rs926070:rs1617322:rs17209007:rs1265788:rs73739316	3
ENSG00000204439	C6orf47	6	31626075	31628549	-1	protein_coding	57827	C6orf47	0.16984783307713	-0.557276036	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:Right_Ventricle:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell	3.722e-21	rs74463708:rs34744948:rs148698549:rs117816501;rs138389328:rs138389328:rs204996:rs549182:rs2856437:rs2853807:rs74463708;rs34744948:rs73739316:rs117816501;rs79433101;rs138389328:rs241436	3
ENSG00000204438	GPANK1	6	31629006	31634060	-1	protein_coding	7918	GPANK1	0.000931901014120056	0.994021153	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:Right_Ventricle:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell	3.722e-21	rs116995415;rs117232593:rs9501364:rs74463708;rs34744948:rs34744948:rs138389328:rs117816501;rs138389328:rs74463708:rs204996:rs549182:rs2856437:rs2853807:rs2072915:rs148698549:rs73739316:rs117816501;rs79433101;rs138389328:rs241436	3
