# MEAN_SAMPLE_SIZE = 15368
# TOTAL_GENES = 19213
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ACEVEDO_LIVER_CANCER_DN                  SET     520    -0.048866   -0.0079299     0.038313      0.89891 ACEVEDO_LIVER_CANCER_DN
ACEVEDO_LIVER_CANCER_UP                  SET     912       0.0222    0.0047207     0.029461      0.22557 ACEVEDO_LIVER_CANCER_UP
ACEVEDO_LIVER_CANCER_WITH_H3...1         SET     165     0.059477    0.0054883     0.073911       0.2105 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...2         SET     244    -0.036183   -0.0040517     0.057679      0.73477 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP
ACEVEDO_LIVER_CANCER_WITH_H3...3         SET      97    -0.083227   -0.0058988     0.088394      0.82678 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...4         SET     120     -0.18842    -0.014845     0.082951      0.98843 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP
ACEVEDO_LIVER_TUMOR_VS_NORMA...1         SET     262    -0.097178    -0.011271     0.051288      0.97093 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN
ACEVEDO_LIVER_TUMOR_VS_NORMA...2         SET     817    -0.011729   -0.0023667     0.030724      0.64867 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP
ACEVEDO_METHYLATED_IN_LIVER_...          SET     719    -0.017909   -0.0033991     0.033243      0.70496 ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...1         SET     339    -0.036484   -0.0048034     0.048098      0.77593 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...2         SET     161    -0.027903   -0.0025436     0.068622      0.65785 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP
ACOSTA_PROLIFERATION_INDEPEN...1         SET     110     0.015251    0.0011507      0.08519      0.42896 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN
ACOSTA_PROLIFERATION_INDEPEN...2         SET      81     0.096738    0.0062681     0.095757       0.1562 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP
ADDYA_ERYTHROID_DIFFERENTIAT...          SET      72      0.17403     0.010634     0.097547     0.037221 ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN
AFFAR_YY1_TARGETS_DN                     SET     240     0.025893    0.0028759     0.054433      0.31715 AFFAR_YY1_TARGETS_DN
AFFAR_YY1_TARGETS_UP                     SET     187     0.030102    0.0029554     0.063936      0.31889 AFFAR_YY1_TARGETS_UP
AGARWAL_AKT_PATHWAY_TARGETS              SET      10      0.28273    0.0064487       0.3049       0.1769 AGARWAL_AKT_PATHWAY_TARGETS
AGUIRRE_PANCREATIC_CANCER_CO...1         SET     231    -0.059766    -0.006514     0.062286      0.83135 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN
AGUIRRE_PANCREATIC_CANCER_CO...2         SET     294     0.038945    0.0047807     0.055829      0.24273 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP
AIGNER_ZEB1_TARGETS                      SET      33     0.043159    0.0017872      0.17967      0.40508 AIGNER_ZEB1_TARGETS
AIYAR_COBRA1_TARGETS_DN                  SET      28      0.31988     0.012203      0.17044     0.030287 AIYAR_COBRA1_TARGETS_DN
AIYAR_COBRA1_TARGETS_UP                  SET      38       0.1552    0.0068954      0.14614      0.14414 AIYAR_COBRA1_TARGETS_UP
AKL_HTLV1_INFECTION_DN                   SET      64     -0.14553   -0.0083856      0.10464      0.91784 AKL_HTLV1_INFECTION_DN
AKL_HTLV1_INFECTION_UP                   SET      26   -0.0082684  -0.00030397      0.16952      0.51945 AKL_HTLV1_INFECTION_UP
ALCALAY_AML_BY_NPM1_LOCALIZA...1         SET     178        0.042     0.004024     0.065441       0.2605 ALCALAY_AML_BY_NPM1_LOCALIZATION_DN
ALCALAY_AML_BY_NPM1_LOCALIZA...2         SET     131      0.21071      0.01734     0.079219    0.0039127 ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
ALCALA_APOPTOSIS                         SET      84      -0.1266   -0.0083529      0.09396      0.91106 ALCALA_APOPTOSIS
ALFANO_MYC_TARGETS                       SET     231     0.058164    0.0063393     0.056201      0.15036 ALFANO_MYC_TARGETS
ALONSO_METASTASIS_DN                     SET      24    -0.018869  -0.00066649      0.18382      0.54088 ALONSO_METASTASIS_DN
ALONSO_METASTASIS_EMT_DN                 SET       5      0.38176    0.0061579      0.43453      0.18983 ALONSO_METASTASIS_EMT_DN
ALONSO_METASTASIS_EMT_UP                 SET      33     -0.16067   -0.0066534      0.14368      0.86826 ALONSO_METASTASIS_EMT_UP
ALONSO_METASTASIS_NEURAL_UP              SET      16     0.038768    0.0011183      0.20024      0.42325 ALONSO_METASTASIS_NEURAL_UP
ALONSO_METASTASIS_UP                     SET     181     0.084351    0.0081487     0.063146     0.090816 ALONSO_METASTASIS_UP
ALTEMEIER_RESPONSE_TO_LPS_WI...          SET     116    -0.004618  -0.00035776     0.080136      0.52298 ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION
AMBROSINI_FLAVOPIRIDOL_TREAT...          SET     104    -0.071014   -0.0052107     0.084355      0.80006 AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53
AMIT_DELAYED_EARLY_GENES                 SET      18    -0.048251   -0.0014762      0.23354      0.58184 AMIT_DELAYED_EARLY_GENES
AMIT_EGF_RESPONSE_120_HELA               SET      66      0.12218    0.0071492      0.10526      0.12287 AMIT_EGF_RESPONSE_120_HELA
AMIT_EGF_RESPONSE_120_MCF10A             SET      40     0.012497   0.00056963      0.13964      0.46435 AMIT_EGF_RESPONSE_120_MCF10A
AMIT_EGF_RESPONSE_20_HELA                SET      11       0.2882    0.0068942      0.25818      0.13216 AMIT_EGF_RESPONSE_20_HELA
AMIT_EGF_RESPONSE_20_MCF10A              SET      12      0.27047    0.0067575      0.24345       0.1333 AMIT_EGF_RESPONSE_20_MCF10A
AMIT_EGF_RESPONSE_240_HELA               SET      59     -0.00989  -0.00054723      0.11218      0.53513 AMIT_EGF_RESPONSE_240_HELA
AMIT_EGF_RESPONSE_240_MCF10A             SET      21    0.0023769    7.854e-05      0.19713      0.49519 AMIT_EGF_RESPONSE_240_MCF10A
AMIT_EGF_RESPONSE_40_HELA                SET      42    -0.021181  -0.00098928      0.14279      0.55896 AMIT_EGF_RESPONSE_40_HELA
AMIT_EGF_RESPONSE_40_MCF10A              SET      17    -0.063106   -0.0018764      0.19772       0.6252 AMIT_EGF_RESPONSE_40_MCF10A
AMIT_EGF_RESPONSE_480_HELA               SET     161     0.016668    0.0015195     0.068444       0.4038 AMIT_EGF_RESPONSE_480_HELA
AMIT_EGF_RESPONSE_480_MCF10A             SET      43     0.061368       0.0029      0.13088      0.31958 AMIT_EGF_RESPONSE_480_MCF10A
AMIT_EGF_RESPONSE_60_HELA                SET      44     -0.11986   -0.0057293      0.13445      0.81366 AMIT_EGF_RESPONSE_60_HELA
AMIT_EGF_RESPONSE_60_MCF10A              SET      37     0.092486    0.0040548      0.14553      0.26255 AMIT_EGF_RESPONSE_60_MCF10A
AMIT_SERUM_RESPONSE_120_MCF1...          SET      63     0.033691    0.0019261      0.11568      0.38543 AMIT_SERUM_RESPONSE_120_MCF10A
AMIT_SERUM_RESPONSE_20_MCF10A            SET      16      0.11068    0.0031927      0.22232       0.3093 AMIT_SERUM_RESPONSE_20_MCF10A
AMIT_SERUM_RESPONSE_240_MCF1...          SET      55     0.093936    0.0050188      0.11478      0.20657 AMIT_SERUM_RESPONSE_240_MCF10A
AMIT_SERUM_RESPONSE_40_MCF10A            SET      30    0.0039145   0.00015457      0.14702      0.48938 AMIT_SERUM_RESPONSE_40_MCF10A
AMIT_SERUM_RESPONSE_480_MCF1...          SET      34     0.033505    0.0014083      0.15534      0.41462 AMIT_SERUM_RESPONSE_480_MCF10A
AMIT_SERUM_RESPONSE_60_MCF10A            SET      56      0.13568    0.0073147      0.12298      0.13496 AMIT_SERUM_RESPONSE_60_MCF10A
AMUNDSON_DNA_DAMAGE_RESPONSE...          SET      16      0.11426    0.0032961      0.19333      0.27725 AMUNDSON_DNA_DAMAGE_RESPONSE_TP53
AMUNDSON_RESPONSE_TO_ARSENITE            SET     204    -0.072413   -0.0074221     0.059696      0.88743 AMUNDSON_RESPONSE_TO_ARSENITE
ANASTASSIOU_MULTICANCER_INVA...          SET      62      0.15454    0.0087651      0.10788     0.076013 ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE
ANDERSEN_CHOLANGIOCARCINOMA_...1         SET      61     -0.19157    -0.010777      0.11427      0.95317 ANDERSEN_CHOLANGIOCARCINOMA_CLASS1
ANDERSEN_CHOLANGIOCARCINOMA_...2         SET     172   -0.0062403  -0.00058781      0.06616      0.53757 ANDERSEN_CHOLANGIOCARCINOMA_CLASS2
ANDERSEN_LIVER_CANCER_KRT19_...1         SET      73     -0.14311   -0.0088049     0.099807      0.92419 ANDERSEN_LIVER_CANCER_KRT19_DN
ANDERSEN_LIVER_CANCER_KRT19_...2         SET      34      0.17757    0.0074633      0.14545       0.1111 ANDERSEN_LIVER_CANCER_KRT19_UP
APPEL_IMATINIB_RESPONSE                  SET      32    0.0010072   4.1073e-05      0.15053      0.49733 APPEL_IMATINIB_RESPONSE
APPIERTO_RESPONSE_TO_FENRETI...1         SET      49    -0.014708  -0.00074186      0.12642      0.54631 APPIERTO_RESPONSE_TO_FENRETINIDE_DN
APPIERTO_RESPONSE_TO_FENRETI...2         SET      38     -0.27514    -0.012224      0.13642      0.97814 APPIERTO_RESPONSE_TO_FENRETINIDE_UP
APRELIKOVA_BRCA1_TARGETS                 SET      45      0.13518    0.0065346      0.12213      0.13418 APRELIKOVA_BRCA1_TARGETS
ASGHARZADEH_NEUROBLASTOMA_PO...          SET      40      -0.2441    -0.011127      0.13326       0.9665 ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN
ASTIER_INTEGRIN_SIGNALING                SET      53     0.034348    0.0018016       0.1181      0.38559 ASTIER_INTEGRIN_SIGNALING
ASTON_MAJOR_DEPRESSIVE_DISOR...1         SET     150    -0.080928   -0.0071229     0.071361      0.87161 ASTON_MAJOR_DEPRESSIVE_DISORDER_DN
ASTON_MAJOR_DEPRESSIVE_DISOR...2         SET      45    -0.062895   -0.0030404      0.13357      0.68113 ASTON_MAJOR_DEPRESSIVE_DISORDER_UP
AUJLA_IL22_AND_IL17A_SIGNALI...          SET       9      0.27442    0.0059381      0.23356      0.12003 AUJLA_IL22_AND_IL17A_SIGNALING
AUNG_GASTRIC_CANCER                      SET      48    -0.038962   -0.0019451      0.12087       0.6264 AUNG_GASTRIC_CANCER
AZARE_NEOPLASTIC_TRANSFORMAT...1         SET      18    -0.090192   -0.0027594      0.22008      0.65903 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN
AZARE_NEOPLASTIC_TRANSFORMAT...2         SET     116   0.00020549   1.5919e-05      0.07988      0.49897 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP
AZARE_STAT3_TARGETS                      SET      23    -0.067954   -0.0023498      0.17612      0.65019 AZARE_STAT3_TARGETS
BACOLOD_RESISTANCE_TO_ALKYLA...1         SET      46     0.043312    0.0021168      0.11304      0.35081 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN
BACOLOD_RESISTANCE_TO_ALKYLA...2         SET      23  -0.00073692  -2.5482e-05      0.17921      0.50164 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP
BAELDE_DIABETIC_NEPHROPATHY_...1         SET     412     0.035172    0.0050952     0.043881      0.21142 BAELDE_DIABETIC_NEPHROPATHY_DN
BAELDE_DIABETIC_NEPHROPATHY_...2         SET      83     0.072339    0.0047444     0.094558      0.22214 BAELDE_DIABETIC_NEPHROPATHY_UP
BAE_BRCA1_TARGETS_DN                     SET      29      0.11963    0.0046442      0.16538      0.23474 BAE_BRCA1_TARGETS_DN
BAE_BRCA1_TARGETS_UP                     SET      65     0.041196    0.0023922      0.10357       0.3454 BAE_BRCA1_TARGETS_UP
BAFNA_MUC4_TARGETS_UP                    SET       3      0.24137     0.003016      0.44771      0.29491 BAFNA_MUC4_TARGETS_UP
BAKER_HEMATOPOESIS_STAT1_TAR...          SET      10     -0.12206    -0.002784      0.32493       0.6464 BAKER_HEMATOPOESIS_STAT1_TARGETS
BAKER_HEMATOPOESIS_STAT5_TAR...          SET       7     0.094187    0.0017975      0.29781       0.3759 BAKER_HEMATOPOESIS_STAT5_TARGETS
BAKER_HEMATOPOIESIS_STAT3_TA...          SET      14      0.18888    0.0050968      0.21068        0.185 BAKER_HEMATOPOIESIS_STAT3_TARGETS
BAKKER_FOXO3_TARGETS_DN                  SET     164    -0.029565   -0.0027199     0.069014      0.66581 BAKKER_FOXO3_TARGETS_DN
BAKKER_FOXO3_TARGETS_UP                  SET      51    -0.046844   -0.0024103       0.1107      0.66391 BAKKER_FOXO3_TARGETS_UP
BALDWIN_PRKCI_TARGETS_UP                 SET      38     -0.19132   -0.0085005      0.15077      0.89777 BALDWIN_PRKCI_TARGETS_UP
BALLIF_DEVELOPMENTAL_DISABIL...          SET      13      0.75745     0.019697       0.2797     0.003388 BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION
BANDRES_RESPONSE_TO_CARMUSTI...1         SET      32     0.056455    0.0023021      0.15033      0.35364 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...2         SET       8      0.44655    0.0091104      0.25504     0.039991 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...3         SET     152     0.086809    0.0076909     0.068528      0.10263 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...4         SET      18     -0.17827   -0.0054542      0.21443      0.79712 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...5         SET       9      0.68448     0.014811      0.31623     0.015221 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...6         SET      12    -0.023488  -0.00058682      0.23568      0.53969 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...7         SET      30     0.007083   0.00027967      0.14629      0.48069 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...8         SET      18      0.33022     0.010103      0.20607     0.054534 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP
BANG_VERTEPORFIN_ENDOMETRIAL...1         SET      14     -0.11116   -0.0029995      0.24976      0.67186 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN
BANG_VERTEPORFIN_ENDOMETRIAL...2         SET      18    -0.087184   -0.0026674      0.19583      0.67191 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP
BARIS_THYROID_CANCER_DN                  SET      54     0.066622    0.0035271      0.12052      0.29021 BARIS_THYROID_CANCER_DN
BARIS_THYROID_CANCER_UP                  SET      23    -0.052679   -0.0018216      0.17654       0.6173 BARIS_THYROID_CANCER_UP
BARRIER_CANCER_RELAPSE_NORMA...1         SET      28     0.018583   0.00070889      0.15471       0.4522 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN
BARRIER_CANCER_RELAPSE_NORMA...2         SET      31     0.065357    0.0026232      0.16522      0.34621 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP
BARRIER_CANCER_RELAPSE_TUMOR...1         SET      10      0.12522    0.0028562      0.31398      0.34501 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_DN
BARRIER_CANCER_RELAPSE_TUMOR...2         SET      15     -0.20109   -0.0056168      0.22153      0.81798 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP
BARRIER_COLON_CANCER_RECURRE...1         SET      15      0.24881    0.0069496      0.22548      0.13492 BARRIER_COLON_CANCER_RECURRENCE_DN
BARRIER_COLON_CANCER_RECURRE...2         SET      39     0.070331    0.0031655      0.13411      0.29999 BARRIER_COLON_CANCER_RECURRENCE_UP
BASAKI_YBX1_TARGETS_DN                   SET     366     0.060647    0.0082906     0.046198     0.094645 BASAKI_YBX1_TARGETS_DN
BASAKI_YBX1_TARGETS_UP                   SET     274    -0.014913   -0.0017682     0.051673      0.61355 BASAKI_YBX1_TARGETS_UP
BASSO_B_LYMPHOCYTE_NETWORK               SET     138    -0.098624   -0.0083286      0.07009      0.92029 BASSO_B_LYMPHOCYTE_NETWORK
BASSO_CD40_SIGNALING_DN                  SET      70      0.11021    0.0066404       0.1049      0.14673 BASSO_CD40_SIGNALING_DN
BASSO_CD40_SIGNALING_UP                  SET      98     0.097704    0.0069603     0.082616      0.11849 BASSO_CD40_SIGNALING_UP
BASSO_HAIRY_CELL_LEUKEMIA_DN             SET       5    -0.024567  -0.00039627      0.41066      0.52385 BASSO_HAIRY_CELL_LEUKEMIA_DN
BASSO_HAIRY_CELL_LEUKEMIA_UP             SET      77     0.048939     0.003092     0.099319       0.3111 BASSO_HAIRY_CELL_LEUKEMIA_UP
BAUS_TFF2_TARGETS_DN                     SET      11     0.035041   0.00083822      0.23813      0.44151 BAUS_TFF2_TARGETS_DN
BAUS_TFF2_TARGETS_UP                     SET      31      0.19865    0.0079732      0.15459      0.09941 BAUS_TFF2_TARGETS_UP
BECKER_TAMOXIFEN_RESISTANCE_...1         SET      51       0.1861    0.0095757      0.11245     0.048978 BECKER_TAMOXIFEN_RESISTANCE_DN
BECKER_TAMOXIFEN_RESISTANCE_...2         SET      53      0.23355      0.01225      0.11505     0.021189 BECKER_TAMOXIFEN_RESISTANCE_UP
BEGUM_TARGETS_OF_PAX3_FOXO1_...1         SET       7      0.29269    0.0055858      0.36636      0.21218 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_AND_PAX3
BEGUM_TARGETS_OF_PAX3_FOXO1_...2         SET      45      0.15855    0.0076644      0.13645      0.12264 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN
BEGUM_TARGETS_OF_PAX3_FOXO1_...3         SET      54     0.015796   0.00083627      0.12411      0.44936 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP
BEIER_GLIOMA_STEM_CELL_DN                SET      64      0.22552     0.012994      0.11247     0.022484 BEIER_GLIOMA_STEM_CELL_DN
BEIER_GLIOMA_STEM_CELL_UP                SET      37      0.14448    0.0063342      0.14868       0.1656 BEIER_GLIOMA_STEM_CELL_UP
BENITEZ_GBM_PROTEASOME_INHIB...          SET      47      0.13178    0.0065098      0.13101      0.15725 BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE
BENNETT_SYSTEMIC_LUPUS_ERYTH...          SET      29     0.056853    0.0022072      0.14453      0.34703 BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS
BENPORATH_CYCLING_GENES                  SET     621    -0.020567   -0.0036375     0.034135      0.72659 BENPORATH_CYCLING_GENES
BENPORATH_EED_TARGETS                    SET     955  -0.00076052  -0.00016529     0.030282      0.51002 BENPORATH_EED_TARGETS
BENPORATH_ES_1                           SET     352    -0.039941   -0.0053565     0.044235      0.81671 BENPORATH_ES_1
BENPORATH_ES_2                           SET      36    -0.098465   -0.0042583      0.14692      0.74863 BENPORATH_ES_2
BENPORATH_ES_CORE_NINE                   SET       8    -0.033466  -0.00068276      0.29768      0.54475 BENPORATH_ES_CORE_NINE
BENPORATH_ES_CORE_NINE_CORRE...          SET      96     0.060326    0.0042537     0.091839      0.25564 BENPORATH_ES_CORE_NINE_CORRELATED
BENPORATH_ES_WITH_H3K27ME3               SET    1038    -0.017646   -0.0039893     0.028753       0.7303 BENPORATH_ES_WITH_H3K27ME3
BENPORATH_MYC_MAX_TARGETS                SET     730     0.035414    0.0067709      0.03207      0.13475 BENPORATH_MYC_MAX_TARGETS
BENPORATH_MYC_TARGETS_WITH_E...          SET     210      0.13665     0.014208     0.062776     0.014756 BENPORATH_MYC_TARGETS_WITH_EBOX
BENPORATH_NANOG_TARGETS                  SET     943     0.025628    0.0055367     0.028822      0.18696 BENPORATH_NANOG_TARGETS
BENPORATH_NOS_TARGETS                    SET     173      0.02788    0.0026337     0.065475      0.33512 BENPORATH_NOS_TARGETS
BENPORATH_OCT4_TARGETS                   SET     276    -0.011968   -0.0014241     0.052292      0.59051 BENPORATH_OCT4_TARGETS
BENPORATH_PRC2_TARGETS                   SET     599    0.0025331   0.00044025     0.037295      0.47293 BENPORATH_PRC2_TARGETS
BENPORATH_PROLIFERATION                  SET     145     0.066946     0.005794     0.075443      0.18745 BENPORATH_PROLIFERATION
BENPORATH_SOX2_TARGETS                   SET     706     0.021051    0.0039605     0.033671      0.26593 BENPORATH_SOX2_TARGETS
BENPORATH_SUZ12_TARGETS                  SET     917    -0.013024   -0.0027766     0.030734      0.66412 BENPORATH_SUZ12_TARGETS
BERENJENO_ROCK_SIGNALING_NOT...1         SET      48      0.10557    0.0052704      0.13144      0.21094 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN
BERENJENO_ROCK_SIGNALING_NOT...2         SET      28      -0.2048   -0.0078128      0.15494      0.90688 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_UP
BERENJENO_TRANSFORMED_BY_RHO...1         SET     380     0.047848    0.0066624     0.045396      0.14595 BERENJENO_TRANSFORMED_BY_RHOA_DN
BERENJENO_TRANSFORMED_BY_RHO...2         SET      28     0.016001   0.00061043      0.15795      0.45965 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN
BERENJENO_TRANSFORMED_BY_RHO...3         SET      20      0.17647    0.0056907      0.19336      0.18072 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_UP
BERENJENO_TRANSFORMED_BY_RHO...4         SET      28     -0.03542   -0.0013512      0.15992      0.58764 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN
BERENJENO_TRANSFORMED_BY_RHO...5         SET       8      0.25928    0.0052897      0.37532      0.24484 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_UP
BERENJENO_TRANSFORMED_BY_RHO...6         SET     524   -0.0022386  -0.00036463     0.037168      0.52401 BERENJENO_TRANSFORMED_BY_RHOA_UP
BERGER_MBD2_TARGETS                      SET       4     -0.41526   -0.0059912      0.43706      0.82897 BERGER_MBD2_TARGETS
BERNARD_PPAPDC1B_TARGETS_DN              SET      56      0.11789    0.0063553      0.11594      0.15464 BERNARD_PPAPDC1B_TARGETS_DN
BERNARD_PPAPDC1B_TARGETS_UP              SET      36     0.014442   0.00062457      0.13327      0.45685 BERNARD_PPAPDC1B_TARGETS_UP
BERTUCCI_INVASIVE_CARCINOMA_...1         SET      43    -0.062862   -0.0029707      0.12773      0.68869 BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN
BERTUCCI_INVASIVE_CARCINOMA_...2         SET      24     -0.25987    -0.009179      0.17758      0.92831 BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_UP
BERTUCCI_MEDULLARY_VS_DUCTAL...1         SET     163    -0.030218   -0.0027715     0.070873      0.66508 BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN
BERTUCCI_MEDULLARY_VS_DUCTAL...2         SET     195   -0.0046379  -0.00046488     0.062286      0.52968 BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP
BHATI_G2M_ARREST_BY_2METHOXY...1         SET     118    -0.056509   -0.0044151     0.079021      0.76272 BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN
BHATI_G2M_ARREST_BY_2METHOXY...2         SET     111     -0.10753   -0.0081497     0.076054      0.92128 BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_UP
BHATTACHARYA_EMBRYONIC_STEM_...          SET      80    -0.013946  -0.00089802      0.09131      0.56069 BHATTACHARYA_EMBRYONIC_STEM_CELL
BHAT_ESR1_TARGETS_NOT_VIA_AK...1         SET      87     0.039475    0.0026504     0.098024      0.34358 BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN
BHAT_ESR1_TARGETS_NOT_VIA_AK...2         SET     204     -0.14296    -0.014652     0.062503       0.9889 BHAT_ESR1_TARGETS_NOT_VIA_AKT1_UP
BHAT_ESR1_TARGETS_VIA_AKT1_DN            SET      82     0.019342     0.001261     0.099723       0.4231 BHAT_ESR1_TARGETS_VIA_AKT1_DN
BHAT_ESR1_TARGETS_VIA_AKT1_UP            SET     274     -0.10146     -0.01203     0.054481      0.96871 BHAT_ESR1_TARGETS_VIA_AKT1_UP
BIDUS_METASTASIS_DN                      SET     142     0.013563    0.0011618     0.074395      0.42767 BIDUS_METASTASIS_DN
