# MEAN_SAMPLE_SIZE = 15368
# TOTAL_GENES = 19074
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ABRAMSON_INTERACT_WITH_AIRE              SET      42      0.10494    0.0049192      0.12473      0.20007 ABRAMSON_INTERACT_WITH_AIRE
ACEVEDO_LIVER_CANCER_DN                  SET     518    -0.047172   -0.0076676     0.038118      0.89204 ACEVEDO_LIVER_CANCER_DN
ACEVEDO_LIVER_CANCER_UP                  SET     898     0.026014    0.0055102     0.029511      0.18903 ACEVEDO_LIVER_CANCER_UP
ACEVEDO_LIVER_CANCER_WITH_H3...1         SET     165      0.06152    0.0056972     0.073438       0.2011 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...2         SET     244    -0.032844    -0.003691     0.057321      0.71667 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP
ACEVEDO_LIVER_CANCER_WITH_H3...3         SET      97    -0.069468   -0.0049414     0.087686      0.78588 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...4         SET     117      -0.1891    -0.014765     0.082778      0.98882 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP
ACEVEDO_LIVER_TUMOR_VS_NORMA...1         SET     261    -0.096192    -0.011175     0.051058      0.97021 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN
ACEVEDO_LIVER_TUMOR_VS_NORMA...2         SET     803   -0.0087494   -0.0017571     0.030719      0.61211 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP
ACEVEDO_METHYLATED_IN_LIVER_...          SET     714    -0.018369   -0.0034869     0.033106       0.7105 ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...1         SET     339    -0.035228   -0.0046546     0.047798      0.76944 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...2         SET     159    -0.005546  -0.00050426     0.068524      0.53225 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP
ACOSTA_PROLIFERATION_INDEPEN...1         SET     108     0.026304    0.0019737     0.085655      0.37939 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN
ACOSTA_PROLIFERATION_INDEPEN...2         SET      81      0.09843    0.0064008     0.095159      0.15049 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP
ADDYA_ERYTHROID_DIFFERENTIAT...          SET      70      0.17434     0.010542     0.098273     0.038041 ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN
AFFAR_YY1_TARGETS_DN                     SET     238     0.033089    0.0036732      0.05445       0.2717 AFFAR_YY1_TARGETS_DN
AFFAR_YY1_TARGETS_UP                     SET     186     0.033972    0.0033384     0.063608      0.29664 AFFAR_YY1_TARGETS_UP
AGARWAL_AKT_PATHWAY_TARGETS              SET      10      0.28577    0.0065417        0.303      0.17282 AGARWAL_AKT_PATHWAY_TARGETS
AGUIRRE_PANCREATIC_CANCER_CO...1         SET     231    -0.058161   -0.0063619     0.061898      0.82629 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN
AGUIRRE_PANCREATIC_CANCER_CO...2         SET     294     0.040407    0.0049779     0.055481      0.23322 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP
AIGNER_ZEB1_TARGETS                      SET      33     0.045719    0.0019001      0.17855      0.39895 AIGNER_ZEB1_TARGETS
AIYAR_COBRA1_TARGETS_DN                  SET      28      0.32151      0.01231      0.16938     0.028848 AIYAR_COBRA1_TARGETS_DN
AIYAR_COBRA1_TARGETS_UP                  SET      38      0.15672    0.0069881      0.14523      0.14029 AIYAR_COBRA1_TARGETS_UP
AKL_HTLV1_INFECTION_DN                   SET      64      -0.1439   -0.0083216      0.10399      0.91678 AKL_HTLV1_INFECTION_DN
AKL_HTLV1_INFECTION_UP                   SET      26    -0.069341   -0.0025584      0.16674      0.66124 AKL_HTLV1_INFECTION_UP
ALCALAY_AML_BY_NPM1_LOCALIZA...1         SET     172      0.03652    0.0034523     0.065926      0.28981 ALCALAY_AML_BY_NPM1_LOCALIZATION_DN
ALCALAY_AML_BY_NPM1_LOCALIZA...2         SET     130      0.20565      0.01692     0.078896    0.0045776 ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
ALCALA_APOPTOSIS                         SET      83     -0.12619   -0.0083061     0.093923      0.91044 ALCALA_APOPTOSIS
ALFANO_MYC_TARGETS                       SET     228     0.066317    0.0072072     0.056202      0.11902 ALFANO_MYC_TARGETS
ALONSO_METASTASIS_DN                     SET      24    -0.016296  -0.00057771      0.18268      0.53554 ALONSO_METASTASIS_DN
ALONSO_METASTASIS_EMT_DN                 SET       5      0.38522    0.0062363      0.43182      0.18618 ALONSO_METASTASIS_EMT_DN
ALONSO_METASTASIS_EMT_UP                 SET      33     -0.15909   -0.0066116      0.14279      0.86739 ALONSO_METASTASIS_EMT_UP
ALONSO_METASTASIS_NEURAL_UP              SET      16     0.040494    0.0011723        0.199      0.41938 ALONSO_METASTASIS_NEURAL_UP
ALONSO_METASTASIS_UP                     SET     181     0.086816    0.0084171     0.062753     0.083271 ALONSO_METASTASIS_UP
ALTEMEIER_RESPONSE_TO_LPS_WI...          SET     115   -0.0046698  -0.00036152     0.080305      0.52319 ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION
AMBROSINI_FLAVOPIRIDOL_TREAT...          SET     104    -0.069583   -0.0051242     0.083829      0.79674 AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53
AMIT_DELAYED_EARLY_GENES                 SET      18    -0.047117   -0.0014468      0.23208      0.58044 AMIT_DELAYED_EARLY_GENES
AMIT_EGF_RESPONSE_120_HELA               SET      66      0.12752    0.0074884      0.10462      0.11146 AMIT_EGF_RESPONSE_120_HELA
AMIT_EGF_RESPONSE_120_MCF10A             SET      40     0.014204   0.00064981      0.13877      0.45924 AMIT_EGF_RESPONSE_120_MCF10A
AMIT_EGF_RESPONSE_20_HELA                SET      11       0.2887    0.0069311      0.25657      0.13026 AMIT_EGF_RESPONSE_20_HELA
AMIT_EGF_RESPONSE_20_MCF10A              SET      12     0.071692    0.0017977      0.25858       0.3908 AMIT_EGF_RESPONSE_20_MCF10A
AMIT_EGF_RESPONSE_240_HELA               SET      59   -0.0084208  -0.00046762      0.11148      0.53011 AMIT_EGF_RESPONSE_240_HELA
AMIT_EGF_RESPONSE_240_MCF10A             SET      21    0.0042414   0.00014066      0.19591      0.49136 AMIT_EGF_RESPONSE_240_MCF10A
AMIT_EGF_RESPONSE_40_HELA                SET      41     -0.02177   -0.0010082      0.14386      0.56014 AMIT_EGF_RESPONSE_40_HELA
AMIT_EGF_RESPONSE_40_MCF10A              SET      17    -0.061203   -0.0018264      0.19649      0.62228 AMIT_EGF_RESPONSE_40_MCF10A
AMIT_EGF_RESPONSE_480_HELA               SET     160     0.023957     0.002185     0.068764      0.36377 AMIT_EGF_RESPONSE_480_HELA
AMIT_EGF_RESPONSE_480_MCF10A             SET      43     0.063016    0.0029887      0.13006      0.31402 AMIT_EGF_RESPONSE_480_MCF10A
AMIT_EGF_RESPONSE_60_HELA                SET      44      -0.1183   -0.0056753      0.13361      0.81203 AMIT_EGF_RESPONSE_60_HELA
AMIT_EGF_RESPONSE_60_MCF10A              SET      36     0.095415    0.0041414       0.1467      0.25772 AMIT_EGF_RESPONSE_60_MCF10A
AMIT_SERUM_RESPONSE_120_MCF1...          SET      63     0.036582     0.002099      0.11496      0.37516 AMIT_SERUM_RESPONSE_120_MCF10A
AMIT_SERUM_RESPONSE_20_MCF10A            SET      16      0.12764    0.0036953      0.22094      0.28174 AMIT_SERUM_RESPONSE_20_MCF10A
AMIT_SERUM_RESPONSE_240_MCF1...          SET      55      0.09571    0.0051322      0.11406      0.20071 AMIT_SERUM_RESPONSE_240_MCF10A
AMIT_SERUM_RESPONSE_40_MCF10A            SET      30    0.0045445   0.00018009       0.1461      0.48759 AMIT_SERUM_RESPONSE_40_MCF10A
AMIT_SERUM_RESPONSE_480_MCF1...          SET      34     0.034443    0.0014529      0.15437      0.41172 AMIT_SERUM_RESPONSE_480_MCF10A
AMIT_SERUM_RESPONSE_60_MCF10A            SET      56      0.13803     0.007468      0.12221      0.12937 AMIT_SERUM_RESPONSE_60_MCF10A
AMUNDSON_DNA_DAMAGE_RESPONSE...          SET      16      0.12001    0.0034744      0.19212       0.2661 AMUNDSON_DNA_DAMAGE_RESPONSE_TP53
AMUNDSON_RESPONSE_TO_ARSENITE            SET     201    -0.063639   -0.0064985     0.060113      0.85511 AMUNDSON_RESPONSE_TO_ARSENITE
ANASTASSIOU_MULTICANCER_INVA...          SET      62      0.15648    0.0089071      0.10721      0.07222 ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE
ANDERSEN_CHOLANGIOCARCINOMA_...1         SET      61      -0.1935    -0.010925      0.11351      0.95587 ANDERSEN_CHOLANGIOCARCINOMA_CLASS1
ANDERSEN_CHOLANGIOCARCINOMA_...2         SET     170   -0.0044455  -0.00041782     0.065996      0.52685 ANDERSEN_CHOLANGIOCARCINOMA_CLASS2
ANDERSEN_LIVER_CANCER_KRT19_...1         SET      73     -0.14183   -0.0087576     0.099185      0.92362 ANDERSEN_LIVER_CANCER_KRT19_DN
ANDERSEN_LIVER_CANCER_KRT19_...2         SET      32      0.19699    0.0080622      0.14511     0.087317 ANDERSEN_LIVER_CANCER_KRT19_UP
APPEL_IMATINIB_RESPONSE                  SET      31     0.034687    0.0013973       0.1544      0.41112 APPEL_IMATINIB_RESPONSE
APPIERTO_RESPONSE_TO_FENRETI...1         SET      49     -0.01272  -0.00064391      0.12563      0.54032 APPIERTO_RESPONSE_TO_FENRETINIDE_DN
APPIERTO_RESPONSE_TO_FENRETI...2         SET      37     -0.29327    -0.012905      0.14182      0.98067 APPIERTO_RESPONSE_TO_FENRETINIDE_UP
APRELIKOVA_BRCA1_TARGETS                 SET      45       0.1371    0.0066515      0.12136      0.12932 APRELIKOVA_BRCA1_TARGETS
ASGHARZADEH_NEUROBLASTOMA_PO...          SET      40     -0.24178    -0.011061      0.13243      0.96605 ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN
ASTIER_INTEGRIN_SIGNALING                SET      53     0.036479    0.0019203      0.11737      0.37797 ASTIER_INTEGRIN_SIGNALING
ASTON_MAJOR_DEPRESSIVE_DISOR...1         SET     148    -0.093011   -0.0081614     0.072145      0.90133 ASTON_MAJOR_DEPRESSIVE_DISORDER_DN
ASTON_MAJOR_DEPRESSIVE_DISOR...2         SET      45    -0.061027   -0.0029608      0.13274      0.67715 ASTON_MAJOR_DEPRESSIVE_DISORDER_UP
AUJLA_IL22_AND_IL17A_SIGNALI...          SET       9      0.27481    0.0059681      0.23211      0.11822 AUJLA_IL22_AND_IL17A_SIGNALING
AUNG_GASTRIC_CANCER                      SET      48    -0.037865   -0.0018972      0.12018      0.62364 AUNG_GASTRIC_CANCER
AZARE_NEOPLASTIC_TRANSFORMAT...1         SET      18    -0.088715   -0.0027241       0.2187      0.65749 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN
AZARE_NEOPLASTIC_TRANSFORMAT...2         SET     116    0.0025335   0.00019698     0.079382      0.48727 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP
AZARE_STAT3_TARGETS                      SET      23    -0.065583    -0.002276      0.17502      0.64606 AZARE_STAT3_TARGETS
BACOLOD_RESISTANCE_TO_ALKYLA...1         SET      45     0.042169    0.0020458      0.11495      0.35687 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN
BACOLOD_RESISTANCE_TO_ALKYLA...2         SET      23   0.00086725   3.0098e-05       0.1781      0.49806 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP
BAELDE_DIABETIC_NEPHROPATHY_...1         SET     409     0.036933      0.00535     0.043664      0.19883 BAELDE_DIABETIC_NEPHROPATHY_DN
BAELDE_DIABETIC_NEPHROPATHY_...2         SET      80     0.037419    0.0024183     0.094796      0.34652 BAELDE_DIABETIC_NEPHROPATHY_UP
BAE_BRCA1_TARGETS_DN                     SET      29      0.12205    0.0047555      0.16435      0.22886 BAE_BRCA1_TARGETS_DN
BAE_BRCA1_TARGETS_UP                     SET      65     0.041274    0.0024054      0.10292      0.34421 BAE_BRCA1_TARGETS_UP
BAFNA_MUC4_TARGETS_UP                    SET       3      0.24355    0.0030543      0.44492      0.29205 BAFNA_MUC4_TARGETS_UP
BAKER_HEMATOPOESIS_STAT1_TAR...          SET      10     -0.12058   -0.0027602      0.32291      0.64558 BAKER_HEMATOPOESIS_STAT1_TARGETS
BAKER_HEMATOPOESIS_STAT5_TAR...          SET       7      0.10055     0.001926      0.29596      0.36702 BAKER_HEMATOPOESIS_STAT5_TARGETS
BAKER_HEMATOPOIESIS_STAT3_TA...          SET      14      0.19252    0.0052139      0.20937      0.17892 BAKER_HEMATOPOIESIS_STAT3_TARGETS
BAKKER_FOXO3_TARGETS_DN                  SET     162    -0.029053   -0.0026662     0.069176      0.66275 BAKKER_FOXO3_TARGETS_DN
BAKKER_FOXO3_TARGETS_UP                  SET      51    -0.044602   -0.0023033      0.11001      0.65742 BAKKER_FOXO3_TARGETS_UP
BALDWIN_PRKCI_TARGETS_UP                 SET      38     -0.19018   -0.0084803      0.14983      0.89783 BALDWIN_PRKCI_TARGETS_UP
BALLIF_DEVELOPMENTAL_DISABIL...          SET      13      0.75868       0.0198      0.27796    0.0031756 BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION
BANDRES_RESPONSE_TO_CARMUSTI...1         SET      31     0.047025    0.0018943      0.15132      0.37799 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...2         SET       8      0.44856    0.0091847      0.25345     0.038388 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...3         SET     149     0.090652     0.007981     0.068675     0.093426 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...4         SET      17      -0.2274    -0.006786      0.23276       0.8357 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...5         SET       9      0.68612     0.014901      0.31426     0.014514 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...6         SET      12    -0.022087  -0.00055383      0.23421      0.53757 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...7         SET      30    0.0076226   0.00030207      0.14538      0.47909 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...8         SET      18      0.33177     0.010187      0.20478     0.052615 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP
BANG_VERTEPORFIN_ENDOMETRIAL...1         SET      14     -0.11109   -0.0030087       0.2482      0.67277 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN
BANG_VERTEPORFIN_ENDOMETRIAL...2         SET      18    -0.085688   -0.0026311      0.19461      0.67014 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP
BARIS_THYROID_CANCER_DN                  SET      53     0.045379    0.0023888       0.1202      0.35289 BARIS_THYROID_CANCER_DN
BARIS_THYROID_CANCER_UP                  SET      23     -0.05166   -0.0017929      0.17544      0.61579 BARIS_THYROID_CANCER_UP
BARRIER_CANCER_RELAPSE_NORMA...1         SET      27     0.027364    0.0010288      0.15545      0.43014 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN
BARRIER_CANCER_RELAPSE_NORMA...2         SET      31     0.067379    0.0027142      0.16419      0.34077 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP
BARRIER_CANCER_RELAPSE_TUMOR...1         SET      10      0.12559     0.002875      0.31202      0.34365 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_DN
BARRIER_CANCER_RELAPSE_TUMOR...2         SET      15     -0.20047   -0.0056197      0.22015      0.81874 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP
BARRIER_COLON_CANCER_RECURRE...1         SET      15      0.25058    0.0070244      0.22408      0.13173 BARRIER_COLON_CANCER_RECURRENCE_DN
BARRIER_COLON_CANCER_RECURRE...2         SET      39     0.072468    0.0032736      0.13327      0.29331 BARRIER_COLON_CANCER_RECURRENCE_UP
BASAKI_YBX1_TARGETS_DN                   SET     364     0.058593    0.0080168     0.046025      0.10151 BASAKI_YBX1_TARGETS_DN
BASAKI_YBX1_TARGETS_UP                   SET     273    -0.018729   -0.0022246     0.051491      0.64197 BASAKI_YBX1_TARGETS_UP
BASSO_B_LYMPHOCYTE_NETWORK               SET     137     -0.10007   -0.0084506     0.069857      0.92399 BASSO_B_LYMPHOCYTE_NETWORK
BASSO_CD40_SIGNALING_DN                  SET      68     0.072342    0.0043118      0.10525      0.24595 BASSO_CD40_SIGNALING_DN
BASSO_CD40_SIGNALING_UP                  SET      87     0.054103    0.0036457      0.08627      0.26529 BASSO_CD40_SIGNALING_UP
BASSO_HAIRY_CELL_LEUKEMIA_DN             SET       5    -0.021469  -0.00034756       0.4081      0.52098 BASSO_HAIRY_CELL_LEUKEMIA_DN
BASSO_HAIRY_CELL_LEUKEMIA_UP             SET      76     0.050461     0.003179      0.09917      0.30544 BASSO_HAIRY_CELL_LEUKEMIA_UP
BAUS_TFF2_TARGETS_DN                     SET      11     0.055315     0.001328      0.23538      0.40711 BAUS_TFF2_TARGETS_DN
BAUS_TFF2_TARGETS_UP                     SET      26      0.18845     0.006953      0.16054      0.12024 BAUS_TFF2_TARGETS_UP
BECKER_TAMOXIFEN_RESISTANCE_...1         SET      51      0.18743    0.0096793      0.11175     0.046756 BECKER_TAMOXIFEN_RESISTANCE_DN
BECKER_TAMOXIFEN_RESISTANCE_...2         SET      53      0.23502     0.012372      0.11433     0.019918 BECKER_TAMOXIFEN_RESISTANCE_UP
BEGUM_TARGETS_OF_PAX3_FOXO1_...1         SET       7       0.2961    0.0056716      0.36408      0.20803 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_AND_PAX3
BEGUM_TARGETS_OF_PAX3_FOXO1_...2         SET      45      0.16082    0.0078024       0.1356      0.11782 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN
BEGUM_TARGETS_OF_PAX3_FOXO1_...3         SET      54     0.018285   0.00097158      0.12333      0.44107 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP
BEIER_GLIOMA_STEM_CELL_DN                SET      55      0.12521    0.0067139       0.1176      0.14352 BEIER_GLIOMA_STEM_CELL_DN
BEIER_GLIOMA_STEM_CELL_UP                SET      37      0.14709     0.006472      0.14775      0.15976 BEIER_GLIOMA_STEM_CELL_UP
BENITEZ_GBM_PROTEASOME_INHIB...          SET      47      0.13311    0.0065996      0.13019       0.1533 BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE
BENNETT_SYSTEMIC_LUPUS_ERYTH...          SET      28     0.064687    0.0024767      0.14445      0.32715 BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS
BENPORATH_CYCLING_GENES                  SET     614    -0.019709   -0.0034789     0.034145       0.7181 BENPORATH_CYCLING_GENES
BENPORATH_EED_TARGETS                    SET     944   0.00075483   0.00016372     0.030279      0.49006 BENPORATH_EED_TARGETS
BENPORATH_ES_1                           SET     350      -0.0389   -0.0052209     0.044068       0.8113 BENPORATH_ES_1
BENPORATH_ES_2                           SET      35     -0.11263   -0.0048203      0.14667      0.77872 BENPORATH_ES_2
BENPORATH_ES_CORE_NINE                   SET       8    -0.037077  -0.00075919      0.29612      0.54982 BENPORATH_ES_CORE_NINE
BENPORATH_ES_CORE_NINE_CORRE...          SET      95     0.071379     0.005025     0.091856      0.21857 BENPORATH_ES_CORE_NINE_CORRELATED
BENPORATH_ES_WITH_H3K27ME3               SET    1028    -0.013754   -0.0031059     0.028712      0.68404 BENPORATH_ES_WITH_H3K27ME3
BENPORATH_MYC_MAX_TARGETS                SET     723      0.03157     0.006029     0.032034      0.16219 BENPORATH_MYC_MAX_TARGETS
BENPORATH_MYC_TARGETS_WITH_E...          SET     209      0.13743     0.014307      0.06229     0.013688 BENPORATH_MYC_TARGETS_WITH_EBOX
BENPORATH_NANOG_TARGETS                  SET     937     0.029686    0.0064162     0.028726      0.15071 BENPORATH_NANOG_TARGETS
BENPORATH_NOS_TARGETS                    SET     172     0.026457    0.0025011     0.065114      0.34225 BENPORATH_NOS_TARGETS
BENPORATH_OCT4_TARGETS                   SET     275    -0.012475   -0.0014871     0.051981      0.59483 BENPORATH_OCT4_TARGETS
BENPORATH_PRC2_TARGETS                   SET     599    0.0043712   0.00076239     0.037063      0.45306 BENPORATH_PRC2_TARGETS
BENPORATH_PROLIFERATION                  SET     145     0.069998      0.00608     0.074973      0.17525 BENPORATH_PROLIFERATION
BENPORATH_SOX2_TARGETS                   SET     700     0.020407    0.0038371     0.033636      0.27203 BENPORATH_SOX2_TARGETS
BENPORATH_SUZ12_TARGETS                  SET     917    -0.011055    -0.002365     0.030543       0.6413 BENPORATH_SUZ12_TARGETS
BERENJENO_ROCK_SIGNALING_NOT...1         SET      48      0.10764    0.0053931      0.13063      0.20497 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN
BERENJENO_ROCK_SIGNALING_NOT...2         SET      25     -0.25237   -0.0091308      0.16176      0.94062 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_UP
BERENJENO_TRANSFORMED_BY_RHO...1         SET     379     0.048394    0.0067538     0.045173      0.14202 BERENJENO_TRANSFORMED_BY_RHOA_DN
BERENJENO_TRANSFORMED_BY_RHO...2         SET      27      0.01619   0.00060871      0.15963      0.45961 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN
BERENJENO_TRANSFORMED_BY_RHO...3         SET      20      0.17841    0.0057743      0.19215      0.17659 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_UP
BERENJENO_TRANSFORMED_BY_RHO...4         SET      28    -0.033448   -0.0012806      0.15893      0.58334 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN
BERENJENO_TRANSFORMED_BY_RHO...5         SET       8      0.26129    0.0053503      0.37298      0.24179 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_UP
BERENJENO_TRANSFORMED_BY_RHO...6         SET     518   0.00022589   3.6718e-05     0.037176      0.49758 BERENJENO_TRANSFORMED_BY_RHOA_UP
BERGER_MBD2_TARGETS                      SET       4     -0.41548   -0.0060162      0.43433      0.83061 BERGER_MBD2_TARGETS
BERNARD_PPAPDC1B_TARGETS_DN              SET      56      0.11988    0.0064864      0.11522      0.14907 BERNARD_PPAPDC1B_TARGETS_DN
BERNARD_PPAPDC1B_TARGETS_UP              SET      36     0.015315   0.00066472      0.13243      0.45397 BERNARD_PPAPDC1B_TARGETS_UP
BERTUCCI_INVASIVE_CARCINOMA_...1         SET      42    -0.065917   -0.0030898      0.12961      0.69447 BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN
BERTUCCI_INVASIVE_CARCINOMA_...2         SET      24     -0.25798   -0.0091455      0.17647       0.9281 BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_UP
BERTUCCI_MEDULLARY_VS_DUCTAL...1         SET     163    -0.028474    -0.002621     0.070429        0.657 BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN
BERTUCCI_MEDULLARY_VS_DUCTAL...2         SET     190    0.0033803   0.00033569     0.062371      0.47839 BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP
BHATI_G2M_ARREST_BY_2METHOXY...1         SET     117    -0.058103   -0.0045368     0.078822      0.76948 BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN
BHATI_G2M_ARREST_BY_2METHOXY...2         SET     110      -0.1077   -0.0081555     0.075874      0.92211 BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_UP
BHATTACHARYA_EMBRYONIC_STEM_...          SET      78    -0.021555   -0.0013756     0.092277      0.59235 BHATTACHARYA_EMBRYONIC_STEM_CELL
BHAT_ESR1_TARGETS_NOT_VIA_AK...1         SET      87     0.041592    0.0028027     0.097413       0.3347 BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN
BHAT_ESR1_TARGETS_NOT_VIA_AK...2         SET     204     -0.14084    -0.014487     0.062107      0.98832 BHAT_ESR1_TARGETS_NOT_VIA_AKT1_UP
BHAT_ESR1_TARGETS_VIA_AKT1_DN            SET      82     0.021734     0.001422     0.099101      0.41321 BHAT_ESR1_TARGETS_VIA_AKT1_DN
BHAT_ESR1_TARGETS_VIA_AKT1_UP            SET     272     -0.10308    -0.012221     0.054277      0.97121 BHAT_ESR1_TARGETS_VIA_AKT1_UP
BIDUS_METASTASIS_DN                      SET     140    0.0095018   0.00081108     0.074584      0.44931 BIDUS_METASTASIS_DN
BIDUS_METASTASIS_UP                      SET     197    -0.044249   -0.0044738     0.057995      0.77726 BIDUS_METASTASIS_UP
