GenomicLocus	region1	region2	FDR	type	DB	tissue/cell	inter/intra	SNPs	genes	ciMapFilt
3	9:117670443-117671027	9:117701001-117701009	2.3067795731208e-07	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs12337739	NA	0
3	9:117670443-117671027	9:117701714-117701725	1.21630918579225e-07	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs12337739	NA	0
3	9:117690349-117690800	9:117314293-117314307	4.0476141688132e-07	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs10982456	NA	0
3	9:117690349-117690800	9:117319418-117319425	5.99951112051903e-07	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs10982456	NA	0
3	9:117690349-117690800	9:117716450-117716469	6.73896681559168e-07	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs10982456	NA	0
3	9:117690349-117690800	9:117717743-117717754	8.51515119742094e-11	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs10982456	NA	0
3	9:117690349-117690800	9:117720431-117720441	1.04384578823933e-07	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs10982456	NA	0
3	9:117690349-117690800	9:117720495-117720512	2.66956752982829e-07	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs10982456	NA	0
3	9:117690349-117690800	9:117731010-117731027	4.65239950535137e-08	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs10982456	NA	0
3	9:117690349-117690800	9:117731229-117731256	1.39545030746051e-08	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs10982456	NA	0
3	9:117690349-117690800	9:117731371-117731384	3.37141031574452e-08	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs10982456	NA	0
3	9:117690349-117690800	9:117751312-117751323	4.21781570370092e-07	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs10982456	NA	0
3	9:117690349-117690800	9:117762721-117762753	2.6592146556648e-07	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs10982456	NA	0
3	9:117690349-117690800	9:117769160-117769171	4.41290320943554e-08	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs10982456	NA	0
3	9:117690349-117690800	9:117769187-117769194	6.57246267453445e-07	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs10982456	NA	0
3	9:117690349-117690800	9:117769228-117769268	1.45825780471894e-07	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs10982456	NA	0
3	9:117690349-117690800	9:117769342-117769361	1.03623054441969e-12	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs10982456	NA	0
3	9:117690349-117690800	9:117770952-117770981	4.34123011274767e-07	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs10982456	NA	0
3	9:117690349-117690800	9:117771138-117771153	1.76529675350429e-07	EP	FANTOM5	EP_correlation_cell_type_oneway	intra	rs10982456	NA	0
3	9:117647197-117647589	9:117647322-117647330	0	EP	FANTOM5	EP_correlation_organ_oneway	intra	rs7049009	NA	0
3	9:117647197-117647589	9:117647355-117647366	0	EP	FANTOM5	EP_correlation_organ_oneway	intra	rs7049009	NA	0
3	9:117647197-117647589	9:117647523-117647530	1.57164617679936e-14	EP	FANTOM5	EP_correlation_organ_oneway	intra	rs7049009	NA	0
3	9:117660866-117661644	9:117692554-117692570	6.37218552259645e-09	EP	FANTOM5	EP_correlation_organ_oneway	intra	rs1322067;rs72756567	ENSG00000106952	1
3	9:117660866-117661644	9:117692787-117692876	3.49031684879402e-08	EP	FANTOM5	EP_correlation_organ_oneway	intra	rs1322067;rs72756567	ENSG00000106952	1
3	9:117640001-117680000	9:117680001-117720000	2.10715e-14	HiC	GSE87112	Aorta	intra	rs7032773;rs7049009;rs2181036;rs2418324;rs1407309;rs4979470;rs112287145;rs2418325;rs11394426;rs3833492;rs11353389;rs10667388;rs10982445;rs34397268;rs72371482;rs4979471;rs1322067;rs72756567;rs7025577;rs6478117;rs7030090;rs7858603;rs113133989;rs3181202;rs3181201;rs3181200;rs2974;rs2295800;rs3181374;rs1126711;rs3181372;rs3181371;rs3181370;rs3181369;rs3181368;rs3181367;rs3181366;rs3181365;rs3181364;rs3181363;rs3181197;rs3181195;rs1322054;rs17292087;rs12337739;rs1322056;rs7028578;rs2208640;rs927373;rs10817682;rs12352646;rs10982449;rs12347977;rs12338765;rs7037640;rs4978611;rs3838334;rs3789879;rs927374	ENSG00000106952	1
3	9:117640001-117680000	9:117760001-117800000	4.711225e-07	HiC	GSE87112	Aorta	intra	rs7032773;rs7049009;rs2181036;rs2418324;rs1407309;rs4979470;rs112287145;rs2418325;rs11394426;rs3833492;rs11353389;rs10667388;rs10982445;rs34397268;rs72371482;rs4979471;rs1322067;rs72756567;rs7025577;rs6478117;rs7030090;rs7858603;rs113133989;rs3181202;rs3181201;rs3181200;rs2974;rs2295800;rs3181374;rs1126711;rs3181372;rs3181371;rs3181370;rs3181369;rs3181368;rs3181367;rs3181366;rs3181365;rs3181364;rs3181363;rs3181197;rs3181195;rs1322054;rs17292087;rs12337739;rs1322056;rs7028578;rs2208640;rs927373;rs10817682;rs12352646;rs10982449;rs12347977;rs12338765;rs7037640;rs4978611;rs3838334;rs3789879;rs927374	NA	0
3	9:117680001-117720000	9:117760001-117800000	1.046111e-07	HiC	GSE87112	Aorta	intra	rs11322814;rs10982450;rs7872878;rs10982451;rs1322058;rs4979472;rs10817683;rs10982453;rs10982454;rs10982455;rs7036962;rs10817684;rs10817685;rs10982456;rs1006025;rs1006026;rs1006027;rs1555456;rs145815687;rs2075534;rs2075533;rs3181348;rs557485812;rs10081728;rs4979473;rs726657;rs726656;rs5900108;rs1322059;rs911603;rs1322060;rs2181033;rs927375;rs35651988	NA	0
4	10:64360001-64400000	10:64520001-64560000	3.081377e-08	HiC	GSE87112	Aorta	intra	rs12766377;rs12774545;rs56299235	NA	0
4	10:64360001-64400000	10:64640001-64680000	5.34852e-08	HiC	GSE87112	Aorta	intra	rs12766377;rs12774545;rs56299235	ENSG00000122877	1
4	10:64360001-64400000	10:64680001-64720000	3.829269e-07	HiC	GSE87112	Aorta	intra	rs12766377;rs12774545;rs56299235	NA	0
4	10:64360001-64400000	10:64720001-64760000	1.722296e-07	HiC	GSE87112	Aorta	intra	rs12766377;rs12774545;rs56299235	NA	0
4	10:64360001-64400000	10:64880001-64920000	1.64844e-12	HiC	GSE87112	Aorta	intra	rs12766377;rs12774545;rs56299235	ENSG00000148572	1
4	10:64360001-64400000	10:65440001-65480000	5.036683e-07	HiC	GSE87112	Aorta	intra	rs12766377;rs12774545;rs56299235	NA	0
5	20:6480001-6520000	20:6520001-6560000	3.708541e-11	HiC	GSE87112	Aorta	intra	rs77926029;rs184983658	NA	0
5	20:6480001-6520000	20:6880001-6920000	4.098486e-07	HiC	GSE87112	Aorta	intra	rs77926029;rs184983658	NA	0
5	20:6480001-6520000	20:6920001-6960000	3.031672e-09	HiC	GSE87112	Aorta	intra	rs77926029;rs184983658	NA	0
5	20:6480001-6520000	20:6960001-7000000	7.481355e-13	HiC	GSE87112	Aorta	intra	rs77926029;rs184983658	NA	0
5	20:6480001-6520000	20:7160001-7200000	6.856805e-16	HiC	GSE87112	Aorta	intra	rs77926029;rs184983658	NA	0
5	20:6480001-6520000	20:7840001-7880000	2.675803e-08	HiC	GSE87112	Aorta	intra	rs77926029;rs184983658	NA	0
3	9:117640001-117680000	9:117520001-117560000	3.792264e-17	HiC	GSE87112	Aorta	intra	rs7032773;rs7049009;rs2181036;rs2418324;rs1407309;rs4979470;rs112287145;rs2418325;rs11394426;rs3833492;rs11353389;rs10667388;rs10982445;rs34397268;rs72371482;rs4979471;rs1322067;rs72756567;rs7025577;rs6478117;rs7030090;rs7858603;rs113133989;rs3181202;rs3181201;rs3181200;rs2974;rs2295800;rs3181374;rs1126711;rs3181372;rs3181371;rs3181370;rs3181369;rs3181368;rs3181367;rs3181366;rs3181365;rs3181364;rs3181363;rs3181197;rs3181195;rs1322054;rs17292087;rs12337739;rs1322056;rs7028578;rs2208640;rs927373;rs10817682;rs12352646;rs10982449;rs12347977;rs12338765;rs7037640;rs4978611;rs3838334;rs3789879;rs927374	NA	0
3	9:117680001-117720000	9:117520001-117560000	1.019448e-09	HiC	GSE87112	Aorta	intra	rs11322814;rs10982450;rs7872878;rs10982451;rs1322058;rs4979472;rs10817683;rs10982453;rs10982454;rs10982455;rs7036962;rs10817684;rs10817685;rs10982456;rs1006025;rs1006026;rs1006027;rs1555456;rs145815687;rs2075534;rs2075533;rs3181348;rs557485812;rs10081728;rs4979473;rs726657;rs726656;rs5900108;rs1322059;rs911603;rs1322060;rs2181033;rs927375;rs35651988	NA	0
3	9:117640001-117680000	9:117560001-117600000	1.142563e-13	HiC	GSE87112	Aorta	intra	rs7032773;rs7049009;rs2181036;rs2418324;rs1407309;rs4979470;rs112287145;rs2418325;rs11394426;rs3833492;rs11353389;rs10667388;rs10982445;rs34397268;rs72371482;rs4979471;rs1322067;rs72756567;rs7025577;rs6478117;rs7030090;rs7858603;rs113133989;rs3181202;rs3181201;rs3181200;rs2974;rs2295800;rs3181374;rs1126711;rs3181372;rs3181371;rs3181370;rs3181369;rs3181368;rs3181367;rs3181366;rs3181365;rs3181364;rs3181363;rs3181197;rs3181195;rs1322054;rs17292087;rs12337739;rs1322056;rs7028578;rs2208640;rs927373;rs10817682;rs12352646;rs10982449;rs12347977;rs12338765;rs7037640;rs4978611;rs3838334;rs3789879;rs927374	ENSG00000181634	1
3	9:117680001-117720000	9:117640001-117680000	2.10715e-14	HiC	GSE87112	Aorta	intra	rs11322814;rs10982450;rs7872878;rs10982451;rs1322058;rs4979472;rs10817683;rs10982453;rs10982454;rs10982455;rs7036962;rs10817684;rs10817685;rs10982456;rs1006025;rs1006026;rs1006027;rs1555456;rs145815687;rs2075534;rs2075533;rs3181348;rs557485812;rs10081728;rs4979473;rs726657;rs726656;rs5900108;rs1322059;rs911603;rs1322060;rs2181033;rs927375;rs35651988	NA	0
5	20:6480001-6520000	20:6200001-6240000	9.235636e-13	HiC	GSE87112	Aorta	intra	rs77926029;rs184983658	NA	0
5	20:6480001-6520000	20:6240001-6280000	3.145578e-10	HiC	GSE87112	Aorta	intra	rs77926029;rs184983658	NA	0
5	20:6480001-6520000	20:6440001-6480000	4.234392e-15	HiC	GSE87112	Aorta	intra	rs77926029;rs184983658	NA	0
3	9:117640001-117680000	9:117680001-117720000	1.294163e-12	HiC	GSE87112	Left_Ventricle	intra	rs7032773;rs7049009;rs2181036;rs2418324;rs1407309;rs4979470;rs112287145;rs2418325;rs11394426;rs3833492;rs11353389;rs10667388;rs10982445;rs34397268;rs72371482;rs4979471;rs1322067;rs72756567;rs7025577;rs6478117;rs7030090;rs7858603;rs113133989;rs3181202;rs3181201;rs3181200;rs2974;rs2295800;rs3181374;rs1126711;rs3181372;rs3181371;rs3181370;rs3181369;rs3181368;rs3181367;rs3181366;rs3181365;rs3181364;rs3181363;rs3181197;rs3181195;rs1322054;rs17292087;rs12337739;rs1322056;rs7028578;rs2208640;rs927373;rs10817682;rs12352646;rs10982449;rs12347977;rs12338765;rs7037640;rs4978611;rs3838334;rs3789879;rs927374	ENSG00000106952	1
3	9:117640001-117680000	9:117760001-117800000	1.023458e-10	HiC	GSE87112	Left_Ventricle	intra	rs7032773;rs7049009;rs2181036;rs2418324;rs1407309;rs4979470;rs112287145;rs2418325;rs11394426;rs3833492;rs11353389;rs10667388;rs10982445;rs34397268;rs72371482;rs4979471;rs1322067;rs72756567;rs7025577;rs6478117;rs7030090;rs7858603;rs113133989;rs3181202;rs3181201;rs3181200;rs2974;rs2295800;rs3181374;rs1126711;rs3181372;rs3181371;rs3181370;rs3181369;rs3181368;rs3181367;rs3181366;rs3181365;rs3181364;rs3181363;rs3181197;rs3181195;rs1322054;rs17292087;rs12337739;rs1322056;rs7028578;rs2208640;rs927373;rs10817682;rs12352646;rs10982449;rs12347977;rs12338765;rs7037640;rs4978611;rs3838334;rs3789879;rs927374	NA	0
3	9:117640001-117680000	9:119520001-119560000	2.912826e-07	HiC	GSE87112	Left_Ventricle	intra	rs7032773;rs7049009;rs2181036;rs2418324;rs1407309;rs4979470;rs112287145;rs2418325;rs11394426;rs3833492;rs11353389;rs10667388;rs10982445;rs34397268;rs72371482;rs4979471;rs1322067;rs72756567;rs7025577;rs6478117;rs7030090;rs7858603;rs113133989;rs3181202;rs3181201;rs3181200;rs2974;rs2295800;rs3181374;rs1126711;rs3181372;rs3181371;rs3181370;rs3181369;rs3181368;rs3181367;rs3181366;rs3181365;rs3181364;rs3181363;rs3181197;rs3181195;rs1322054;rs17292087;rs12337739;rs1322056;rs7028578;rs2208640;rs927373;rs10817682;rs12352646;rs10982449;rs12347977;rs12338765;rs7037640;rs4978611;rs3838334;rs3789879;rs927374	NA	0
3	9:117640001-117680000	9:119760001-119800000	7.41242e-11	HiC	GSE87112	Left_Ventricle	intra	rs7032773;rs7049009;rs2181036;rs2418324;rs1407309;rs4979470;rs112287145;rs2418325;rs11394426;rs3833492;rs11353389;rs10667388;rs10982445;rs34397268;rs72371482;rs4979471;rs1322067;rs72756567;rs7025577;rs6478117;rs7030090;rs7858603;rs113133989;rs3181202;rs3181201;rs3181200;rs2974;rs2295800;rs3181374;rs1126711;rs3181372;rs3181371;rs3181370;rs3181369;rs3181368;rs3181367;rs3181366;rs3181365;rs3181364;rs3181363;rs3181197;rs3181195;rs1322054;rs17292087;rs12337739;rs1322056;rs7028578;rs2208640;rs927373;rs10817682;rs12352646;rs10982449;rs12347977;rs12338765;rs7037640;rs4978611;rs3838334;rs3789879;rs927374	NA	0
3	9:117680001-117720000	9:117760001-117800000	4.566437e-09	HiC	GSE87112	Left_Ventricle	intra	rs11322814;rs10982450;rs7872878;rs10982451;rs1322058;rs4979472;rs10817683;rs10982453;rs10982454;rs10982455;rs7036962;rs10817684;rs10817685;rs10982456;rs1006025;rs1006026;rs1006027;rs1555456;rs145815687;rs2075534;rs2075533;rs3181348;rs557485812;rs10081728;rs4979473;rs726657;rs726656;rs5900108;rs1322059;rs911603;rs1322060;rs2181033;rs927375;rs35651988	NA	0
3	9:117680001-117720000	9:118000001-118040000	1.231072e-15	HiC	GSE87112	Left_Ventricle	intra	rs11322814;rs10982450;rs7872878;rs10982451;rs1322058;rs4979472;rs10817683;rs10982453;rs10982454;rs10982455;rs7036962;rs10817684;rs10817685;rs10982456;rs1006025;rs1006026;rs1006027;rs1555456;rs145815687;rs2075534;rs2075533;rs3181348;rs557485812;rs10081728;rs4979473;rs726657;rs726656;rs5900108;rs1322059;rs911603;rs1322060;rs2181033;rs927375;rs35651988	NA	0
4	10:64360001-64400000	10:64440001-64480000	1.215133e-09	HiC	GSE87112	Left_Ventricle	intra	rs12766377;rs12774545;rs56299235	NA	0
4	10:64360001-64400000	10:64520001-64560000	1.106318e-14	HiC	GSE87112	Left_Ventricle	intra	rs12766377;rs12774545;rs56299235	NA	0
4	10:64360001-64400000	10:64560001-64600000	4.87827e-11	HiC	GSE87112	Left_Ventricle	intra	rs12766377;rs12774545;rs56299235	ENSG00000181915	1
4	10:64360001-64400000	10:64640001-64680000	5.01463e-15	HiC	GSE87112	Left_Ventricle	intra	rs12766377;rs12774545;rs56299235	ENSG00000122877	1
4	10:64360001-64400000	10:64680001-64720000	3.079778e-17	HiC	GSE87112	Left_Ventricle	intra	rs12766377;rs12774545;rs56299235	NA	0
4	10:64360001-64400000	10:64720001-64760000	2.536267e-10	HiC	GSE87112	Left_Ventricle	intra	rs12766377;rs12774545;rs56299235	NA	0
4	10:64360001-64400000	10:64800001-64840000	2.07861e-23	HiC	GSE87112	Left_Ventricle	intra	rs12766377;rs12774545;rs56299235	NA	0
4	10:64360001-64400000	10:64880001-64920000	3.337027e-17	HiC	GSE87112	Left_Ventricle	intra	rs12766377;rs12774545;rs56299235	ENSG00000148572	1
4	10:64360001-64400000	10:64920001-64960000	9.338042e-07	HiC	GSE87112	Left_Ventricle	intra	rs12766377;rs12774545;rs56299235	NA	0
4	10:64360001-64400000	10:65200001-65240000	2.358165e-07	HiC	GSE87112	Left_Ventricle	intra	rs12766377;rs12774545;rs56299235	ENSG00000171988	1
4	10:64360001-64400000	10:65400001-65440000	2.643647e-09	HiC	GSE87112	Left_Ventricle	intra	rs12766377;rs12774545;rs56299235	NA	0
4	10:64360001-64400000	10:65440001-65480000	6.118435e-07	HiC	GSE87112	Left_Ventricle	intra	rs12766377;rs12774545;rs56299235	NA	0
4	10:64360001-64400000	10:65480001-65520000	1.505468e-23	HiC	GSE87112	Left_Ventricle	intra	rs12766377;rs12774545;rs56299235	NA	0
4	10:64360001-64400000	10:65520001-65560000	1.729602e-10	HiC	GSE87112	Left_Ventricle	intra	rs12766377;rs12774545;rs56299235	NA	0
5	20:6480001-6520000	20:6520001-6560000	1.163195e-33	HiC	GSE87112	Left_Ventricle	intra	rs77926029;rs184983658	NA	0
5	20:6480001-6520000	20:6640001-6680000	2.349786e-16	HiC	GSE87112	Left_Ventricle	intra	rs77926029;rs184983658	NA	0
5	20:6480001-6520000	20:6840001-6880000	7.284909e-10	HiC	GSE87112	Left_Ventricle	intra	rs77926029;rs184983658	NA	0
5	20:6480001-6520000	20:6920001-6960000	1.354135e-17	HiC	GSE87112	Left_Ventricle	intra	rs77926029;rs184983658	NA	0
5	20:6480001-6520000	20:6960001-7000000	1.047978e-11	HiC	GSE87112	Left_Ventricle	intra	rs77926029;rs184983658	NA	0
5	20:6480001-6520000	20:7160001-7200000	4.373063e-09	HiC	GSE87112	Left_Ventricle	intra	rs77926029;rs184983658	NA	0
5	20:6480001-6520000	20:7240001-7280000	3.132127e-10	HiC	GSE87112	Left_Ventricle	intra	rs77926029;rs184983658	NA	0
5	20:6480001-6520000	20:7280001-7320000	4.792014e-26	HiC	GSE87112	Left_Ventricle	intra	rs77926029;rs184983658	NA	0
5	20:6480001-6520000	20:7720001-7760000	2.553268e-11	HiC	GSE87112	Left_Ventricle	intra	rs77926029;rs184983658	NA	0
1	1:114280001-114320000	1:113440001-113480000	2.890265e-07	HiC	GSE87112	Left_Ventricle	intra	rs6679677	NA	0
1	1:114280001-114320000	1:113640001-113680000	4.733068e-10	HiC	GSE87112	Left_Ventricle	intra	rs6679677	NA	0
2	2:234400001-234440000	2:234320001-234360000	5.328236e-08	HiC	GSE87112	Left_Ventricle	intra	rs78135710	NA	0
3	9:117640001-117680000	9:117240001-117280000	2.133173e-10	HiC	GSE87112	Left_Ventricle	intra	rs7032773;rs7049009;rs2181036;rs2418324;rs1407309;rs4979470;rs112287145;rs2418325;rs11394426;rs3833492;rs11353389;rs10667388;rs10982445;rs34397268;rs72371482;rs4979471;rs1322067;rs72756567;rs7025577;rs6478117;rs7030090;rs7858603;rs113133989;rs3181202;rs3181201;rs3181200;rs2974;rs2295800;rs3181374;rs1126711;rs3181372;rs3181371;rs3181370;rs3181369;rs3181368;rs3181367;rs3181366;rs3181365;rs3181364;rs3181363;rs3181197;rs3181195;rs1322054;rs17292087;rs12337739;rs1322056;rs7028578;rs2208640;rs927373;rs10817682;rs12352646;rs10982449;rs12347977;rs12338765;rs7037640;rs4978611;rs3838334;rs3789879;rs927374	ENSG00000095397	1
3	9:117640001-117680000	9:117520001-117560000	1.430444e-47	HiC	GSE87112	Left_Ventricle	intra	rs7032773;rs7049009;rs2181036;rs2418324;rs1407309;rs4979470;rs112287145;rs2418325;rs11394426;rs3833492;rs11353389;rs10667388;rs10982445;rs34397268;rs72371482;rs4979471;rs1322067;rs72756567;rs7025577;rs6478117;rs7030090;rs7858603;rs113133989;rs3181202;rs3181201;rs3181200;rs2974;rs2295800;rs3181374;rs1126711;rs3181372;rs3181371;rs3181370;rs3181369;rs3181368;rs3181367;rs3181366;rs3181365;rs3181364;rs3181363;rs3181197;rs3181195;rs1322054;rs17292087;rs12337739;rs1322056;rs7028578;rs2208640;rs927373;rs10817682;rs12352646;rs10982449;rs12347977;rs12338765;rs7037640;rs4978611;rs3838334;rs3789879;rs927374	NA	0
3	9:117640001-117680000	9:117560001-117600000	1.81737e-07	HiC	GSE87112	Left_Ventricle	intra	rs7032773;rs7049009;rs2181036;rs2418324;rs1407309;rs4979470;rs112287145;rs2418325;rs11394426;rs3833492;rs11353389;rs10667388;rs10982445;rs34397268;rs72371482;rs4979471;rs1322067;rs72756567;rs7025577;rs6478117;rs7030090;rs7858603;rs113133989;rs3181202;rs3181201;rs3181200;rs2974;rs2295800;rs3181374;rs1126711;rs3181372;rs3181371;rs3181370;rs3181369;rs3181368;rs3181367;rs3181366;rs3181365;rs3181364;rs3181363;rs3181197;rs3181195;rs1322054;rs17292087;rs12337739;rs1322056;rs7028578;rs2208640;rs927373;rs10817682;rs12352646;rs10982449;rs12347977;rs12338765;rs7037640;rs4978611;rs3838334;rs3789879;rs927374	ENSG00000181634	1
3	9:117640001-117680000	9:117600001-117640000	2.342726e-15	HiC	GSE87112	Left_Ventricle	intra	rs7032773;rs7049009;rs2181036;rs2418324;rs1407309;rs4979470;rs112287145;rs2418325;rs11394426;rs3833492;rs11353389;rs10667388;rs10982445;rs34397268;rs72371482;rs4979471;rs1322067;rs72756567;rs7025577;rs6478117;rs7030090;rs7858603;rs113133989;rs3181202;rs3181201;rs3181200;rs2974;rs2295800;rs3181374;rs1126711;rs3181372;rs3181371;rs3181370;rs3181369;rs3181368;rs3181367;rs3181366;rs3181365;rs3181364;rs3181363;rs3181197;rs3181195;rs1322054;rs17292087;rs12337739;rs1322056;rs7028578;rs2208640;rs927373;rs10817682;rs12352646;rs10982449;rs12347977;rs12338765;rs7037640;rs4978611;rs3838334;rs3789879;rs927374	NA	0
3	9:117680001-117720000	9:117640001-117680000	1.294163e-12	HiC	GSE87112	Left_Ventricle	intra	rs11322814;rs10982450;rs7872878;rs10982451;rs1322058;rs4979472;rs10817683;rs10982453;rs10982454;rs10982455;rs7036962;rs10817684;rs10817685;rs10982456;rs1006025;rs1006026;rs1006027;rs1555456;rs145815687;rs2075534;rs2075533;rs3181348;rs557485812;rs10081728;rs4979473;rs726657;rs726656;rs5900108;rs1322059;rs911603;rs1322060;rs2181033;rs927375;rs35651988	NA	0
5	20:6480001-6520000	20:6200001-6240000	7.489262e-13	HiC	GSE87112	Left_Ventricle	intra	rs77926029;rs184983658	NA	0
5	20:6480001-6520000	20:6240001-6280000	4.471597e-30	HiC	GSE87112	Left_Ventricle	intra	rs77926029;rs184983658	NA	0
5	20:6480001-6520000	20:6360001-6400000	7.443576e-24	HiC	GSE87112	Left_Ventricle	intra	rs77926029;rs184983658	NA	0
5	20:6480001-6520000	20:6440001-6480000	2.85685e-39	HiC	GSE87112	Left_Ventricle	intra	rs77926029;rs184983658	NA	0
1	1:114280001-114320000	1:114320001-114360000	3.090442e-09	HiC	GSE87112	Liver	intra	rs6679677	ENSG00000081019	1
2	2:234400001-234440000	2:234440001-234480000	8.569573e-11	HiC	GSE87112	Liver	intra	rs78135710	ENSG00000085982	1
2	2:234400001-234440000	2:234640001-234680000	1.532538e-12	HiC	GSE87112	Liver	intra	rs78135710	ENSG00000242366	1
2	2:234400001-234440000	2:234800001-234840000	7.399543e-19	HiC	GSE87112	Liver	intra	rs78135710	ENSG00000144481	1
3	9:117640001-117680000	9:117760001-117800000	9.190407e-20	HiC	GSE87112	Liver	intra	rs7032773;rs7049009;rs2181036;rs2418324;rs1407309;rs4979470;rs112287145;rs2418325;rs11394426;rs3833492;rs11353389;rs10667388;rs10982445;rs34397268;rs72371482;rs4979471;rs1322067;rs72756567;rs7025577;rs6478117;rs7030090;rs7858603;rs113133989;rs3181202;rs3181201;rs3181200;rs2974;rs2295800;rs3181374;rs1126711;rs3181372;rs3181371;rs3181370;rs3181369;rs3181368;rs3181367;rs3181366;rs3181365;rs3181364;rs3181363;rs3181197;rs3181195;rs1322054;rs17292087;rs12337739;rs1322056;rs7028578;rs2208640;rs927373;rs10817682;rs12352646;rs10982449;rs12347977;rs12338765;rs7037640;rs4978611;rs3838334;rs3789879;rs927374	NA	0
